"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.100173446E0,-6.222397685E-1,3.202941418E-1,-7.127933502E-1
1.110173446E0,-5.005061030E-1,-3.249895573E-2,-2.616910934E-1
1.120173446E0,-3.733084798E-1,-5.457922220E-1,-3.152275085E-1
1.130173446E0,-3.860737383E-2,-7.345016003E-1,-3.630752563E-1
1.140173446E0,-7.571525872E-3,-6.785837412E-1,-3.404140472E-1
1.150173446E0,-7.604284585E-2,-5.988346338E-1,-3.669805527E-1
1.160173446E0,1.582067274E-2,-5.856201649E-1,-2.678556442E-1
1.170173446E0,3.094925359E-2,-5.343211889E-1,-8.905029297E-2
1.180173446E0,-1.788706034E-1,-4.708374739E-1,1.077413559E-1
1.190173446E0,-7.265110016E-1,-3.658281565E-1,1.114673615E-1
1.200173446E0,-1.124293685E0,-1.648051739E-1,-2.124614716E-1
1.210173446E0,-1.277342677E0,8.310997486E-2,-4.870977402E-1
1.220173446E0,-1.314558387E0,1.143501997E-1,-4.870548248E-1
1.230173446E0,-1.148876548E0,1.063418388E-2,-2.444477081E-1
1.240173446E0,-8.137498498E-1,-1.727199554E-1,1.138868332E-1
1.250173446E0,-5.739988089E-1,-3.628319502E-1,3.313875198E-1
1.260173446E0,-5.522468090E-1,-5.765434504E-1,3.778657913E-1
1.270173446E0,-3.168497384E-1,-7.255363464E-1,4.315948486E-1
1.280173446E0,1.411020756E-2,-7.427706718E-1,6.016302109E-1
1.290173446E0,4.164077938E-1,-8.593324423E-1,6.954030991E-1
1.300173446E0,6.830649972E-1,-9.585862160E-1,6.661891937E-1
1.310173446E0,8.023096919E-1,-9.723391533E-1,3.590698242E-1
1.320173446E0,6.574579477E-1,-9.602403045E-1,-1.686000824E-1
1.330173446E0,2.889288962E-1,-7.686064243E-1,-5.765428543E-1
1.340173446E0,2.072325349E-1,-4.391897917E-1,-7.198352814E-1
1.350173446E0,-2.326165438E-1,-1.502602100E-1,-7.360172272E-1
1.360173446E0,-1.105606079E0,-2.053616047E-1,-6.157798767E-1
1.370173446E0,-1.131587029E0,9.268426895E-2,-4.375915527E-1
1.380173446E0,-9.449337125E-1,5.532453060E-1,1.110363007E-2
1.390173446E0,-1.063092709E0,8.616358042E-1,6.089649200E-1
1.400173446E0,-9.220104218E-1,6.401245594E-1,1.358895302E0
1.410173446E0,-6.717364788E-1,7.322883606E-1,1.813880920E0
1.420173446E0,-3.792835176E-1,8.212668896E-1,1.930843353E0
1.430173446E0,-6.965970993E-2,7.731685638E-1,1.665501595E0
1.440173446E0,7.946303487E-2,4.292459488E-1,1.038485527E0
1.450173446E0,7.818560302E-2,-1.317427158E-1,3.174552917E-1
1.460173446E0,3.045556545E-1,-5.585713387E-1,-4.336643219E-2
1.470173446E0,2.867565751E-1,-9.040493965E-1,-6.647701263E-1
1.480173446E0,8.443619311E-2,-1.057295680E0,-1.289368629E0
1.490173446E0,-6.456203014E-2,-1.121606350E0,-1.565396309E0
1.500173446E0,-1.240411624E-1,-9.998909235E-1,-1.353076935E0
1.510173446E0,-4.395569265E-1,-6.236119270E-1,-8.201589584E-1
1.520173446E0,-8.983194828E-1,-9.355664253E-2,-6.373405457E-2
1.530173446E0,-1.053973556E0,3.176350594E-1,7.087812424E-1
1.540173446E0,-9.227061272E-1,5.092175007E-1,1.392354012E0
1.550173446E0,-7.056951523E-1,4.703538418E-1,1.810976982E0
1.560173446E0,-5.105865598E-1,3.294477463E-1,2.112289429E0
1.570173446E0,-4.555675387E-1,1.734590530E-1,2.212536812E0
1.580173446E0,-4.363209605E-1,-4.224395752E-2,1.984586716E0
1.590173446E0,-4.717456102E-1,-3.113986254E-1,1.514494896E0
1.600173446E0,-4.699732661E-1,-6.272308826E-1,1.080819130E0
1.610173446E0,-4.807020128E-1,-8.840394020E-1,7.480401993E-1
1.620173446E0,-4.220878482E-1,-9.446561337E-1,4.282817841E-1
1.630173446E0,-3.755144477E-1,-9.372138977E-1,1.014451981E-1
1.640173446E0,-2.316307127E-1,-1.076962590E0,-3.094997406E-1
1.650173446E0,1.341524422E-1,-1.200649858E0,-2.469511032E-1
1.660173446E0,3.395406902E-1,-1.252095222E0,-1.682233810E-1
1.670173446E0,2.207339257E-1,-9.109940529E-1,-1.889829636E-1
1.680173446E0,-2.398580611E-1,-5.071063042E-1,-1.266031265E-1
1.690173446E0,-1.076546609E-1,-2.114669085E-1,5.164813995E-2
1.700173446E0,3.030240536E-1,-9.673166275E-2,4.633693695E-1
1.710173446E0,3.443607986E-1,2.106294632E-1,8.348836899E-1
1.720173446E0,1.078162529E-2,6.986474991E-1,1.128905296E0
1.730173446E0,-2.877700329E-1,9.998638630E-1,1.368041039E0
1.740173446E0,-5.032718778E-1,1.127689362E0,1.285435677E0
1.750173446E0,-2.306708992E-1,8.679687977E-1,9.060888290E-1
1.760173446E0,2.730496526E-1,3.582055569E-1,1.260004044E-1
1.770173446E0,5.204249024E-1,-7.133054733E-2,-7.844581604E-1
1.780173446E0,3.690434992E-1,-3.900856972E-1,-1.552070618E0
1.790173446E0,3.277705908E-1,-5.282306671E-1,-1.859107018E0
1.800173446E0,-8.903794736E-2,-5.457580090E-1,-1.993815422E0
1.810173446E0,-3.260615468E-1,-4.740839005E-1,-1.891199589E0
1.820173446E0,-3.466506898E-1,-2.008733749E-1,-1.529243469E0
1.830173446E0,-3.572428226E-1,1.359789371E-1,-9.908332825E-1
1.840173446E0,-2.888877988E-1,4.159848690E-1,-5.631923676E-1
1.850173446E0,-1.669764519E-1,5.940110683E-1,-4.009914398E-1
1.860173446E0,-4.238932580E-2,7.086939812E-1,-3.674449921E-1
1.870173446E0,5.888462067E-3,7.966444492E-1,-2.793941498E-1
1.880173446E0,-1.798782200E-1,8.666248322E-1,-2.605638504E-1
1.890173446E0,-2.090098560E-1,9.002413750E-1,-2.788953781E-1
1.900173446E0,-3.532190025E-1,9.776370525E-1,-2.612485886E-1
1.910173446E0,-4.443039298E-1,1.011545420E0,-1.836080551E-1
1.920173446E0,-2.945088744E-1,9.278361797E-1,-1.689376831E-1
1.930173446E0,-4.058403522E-2,7.777175903E-1,-1.541500092E-1
1.940173446E0,2.341212630E-1,5.885601044E-1,-1.415967941E-1
1.950173446E0,4.717289805E-1,4.779574871E-1,-1.990604401E-2
1.960173446E0,5.897201896E-1,3.953657150E-1,1.354923248E-1
1.970173446E0,7.035839558E-1,3.280482292E-1,3.821611404E-1
1.980173446E0,6.190510988E-1,2.805807590E-1,6.305379868E-1
1.990173446E0,5.234519243E-1,2.040734291E-1,7.703380585E-1
2.000173446E0,3.164275885E-1,3.713297844E-2,5.372257233E-1
2.010173446E0,7.505229861E-2,-1.784567833E-1,-3.319168091E-2
2.020173446E0,-1.491516083E-2,-3.175983429E-1,-7.378044128E-1
2.030173446E0,6.804611534E-2,-3.742163181E-1,-1.344203949E0
2.040173446E0,1.868764907E-1,-3.607544899E-1,-1.789433002E0
2.050173446E0,2.675290108E-1,-3.139295578E-1,-2.076162338E0
2.060173446E0,3.360457420E-1,-1.523437500E-1,-2.105165958E0
2.070173446E0,3.628189564E-1,1.881453991E-1,-1.839772224E0
2.080173446E0,4.165098667E-1,7.000381947E-1,-1.197730064E0
2.090173446E0,3.893908858E-1,1.298617840E0,-2.817115784E-1
2.100173446E0,3.557788730E-1,1.780719042E0,7.271547318E-1
2.110173446E0,2.962869108E-1,2.012936831E0,1.568289757E0
2.120173446E0,3.765886426E-1,2.027610540E0,2.235633850E0
2.130173446E0,5.920075178E-1,1.845114946E0,2.576426506E0
2.140173446E0,8.156561852E-1,1.539424658E0,2.528350830E0
2.150173446E0,1.046208143E0,1.023080349E0,2.025638580E0
2.160173446E0,1.024581552E0,5.533843040E-1,1.128321648E0
