"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.033590585E2,-1.004985496E-1,3.747160196E0,9.140582085E0
1.033690585E2,3.541377485E-1,3.627519131E0,9.131011009E0
1.033790585E2,4.259224236E-1,3.579662561E0,9.198010445E0
1.033890585E2,1.627119333E-1,3.517449379E0,9.317651749E0
1.033990585E2,-4.307080805E-2,3.522234917E0,9.446864128E0
1.034090585E2,-2.009970993E-1,3.555734396E0,9.384650230E0
1.034190585E2,-7.178468108E-1,3.622733593E0,9.073583603E0
1.034290585E2,-6.412764788E-1,3.728017569E0,8.939585686E0
1.034390585E2,-3.637090325E-1,3.914657831E0,8.666803360E0
1.034490585E2,-9.475577474E-1,3.665804386E0,8.949156761E0
1.034590585E2,-8.183453679E-1,3.627519131E0,9.437292099E0
1.034690585E2,1.148554832E-1,3.546163082E0,9.690931320E0
1.034790585E2,1.722832322E-1,3.732803345E0,9.801001549E0
1.034890585E2,-9.092725813E-2,3.775874138E0,1.031785107E1
1.034990585E2,-9.092725813E-2,3.799802303E0,1.094477081E1
1.035090585E2,4.019941986E-1,3.622733593E0,1.086341476E1
1.035190585E2,4.307080805E-1,3.416950703E0,1.079641533E1
1.035290585E2,7.178468108E-1,3.555734396E0,1.009771156E1
1.035390585E2,-1.004985496E-1,3.498306751E0,9.231510162E0
1.035490585E2,-2.153540403E-1,3.349951744E0,7.891529083E0
1.035590585E2,-8.422735929E-1,3.742374659E0,8.657232285E0
1.035690585E2,-7.130611539E-1,3.818944931E0,8.508877754E0
1.035790585E2,-9.475577474E-1,4.010370731E0,8.327022552E0
1.035890585E2,-1.014556766E0,3.996013880E0,8.566305161E0
1.035990585E2,-5.599204898E-1,3.771088600E0,8.695517540E0
1.036090585E2,2.679961324E-1,3.838087559E0,8.695517540E0
1.036190585E2,6.939185858E-1,3.723232031E0,8.638090134E0
1.036290585E2,4.833501875E-1,3.756731510E0,8.719446182E0
1.036390585E2,1.052841991E-1,3.751945972E0,8.609375954E0
1.036490585E2,1.866401732E-1,3.766302824E0,8.647661209E0
1.036590585E2,1.292124242E-1,3.689732552E0,8.647661209E0
1.036690585E2,1.914258115E-2,3.680161238E0,8.580661774E0
1.036790585E2,-3.397808075E-1,3.742374659E0,7.867600918E0
1.036890585E2,-6.795616150E-1,3.890729666E0,7.317251682E0
1.036990585E2,-1.100698471E0,4.134797573E0,7.231110096E0
1.037090585E2,-7.704889178E-1,4.110869408E0,7.853243828E0
1.037190585E2,2.392822690E-2,3.962514400E0,8.590232849E0
1.037290585E2,3.828516304E-1,4.039084435E0,9.470791817E0
1.037390585E2,3.349951804E-1,4.106083870E0,9.786644936E0
1.037490585E2,2.249253243E-1,3.952943087E0,9.944570541E0
1.037590585E2,2.632105052E-1,3.885943890E0,1.013599682E1
1.037690585E2,1.866401732E-1,3.818944931E0,1.040399265E1
1.037790585E2,4.785645287E-3,3.684946775E0,1.019342422E1
1.037890585E2,2.392822690E-2,3.603590965E0,9.533005714E0
1.037990585E2,1.196411327E-1,3.522234917E0,8.422736168E0
1.038090585E2,-2.679961324E-1,3.570091486E0,7.570890903E0
1.038190585E2,-9.762716293E-1,3.641875982E0,6.752545357E0
