"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.262096792E0,6.438111877E-1,2.643203430E0,9.385183411E0
1.272122792E0,6.183641052E-1,2.605032806E0,9.408085785E0
1.282147792E0,7.685018921E-1,2.517015839E0,9.104966125E0
1.292173792E0,6.614744568E-1,2.315834198E0,7.867339783E0
1.302199792E0,5.174739075E-1,2.174827423E0,7.075037384E0
1.312225792E0,3.764671326E-1,1.758243713E0,6.929989014E0
1.322250792E0,3.607498169E-1,1.134939880E0,6.995103607E0
1.332276792E0,8.532257080E-2,4.896318054E-1,7.234755249E0
1.342302792E0,-4.531077576E-1,-5.583389282E-2,8.061785431E0
1.352327792E0,1.309776306E-1,-3.174897766E-1,9.323960724E0
1.362353792E0,4.587959290E-1,-6.032455444E-2,9.786049805E0
1.372379792E0,1.975891113E-1,2.444416809E-1,9.931397552E0
1.382404792E0,1.023870850E-1,2.659968567E-1,9.870174866E0
1.392430792E0,6.273454285E-1,4.730163574E-2,1.041309586E1
1.402456792E0,9.056167603E-1,-3.921844482E-2,1.044917084E1
1.412482792E0,1.132844238E0,-1.616638184E-1,1.076710968E1
1.422507792E0,1.441652069E0,-4.751119995E-1,1.121198456E1
1.432533792E0,2.023641815E0,-5.556445312E-1,1.109417953E1
1.442559792E0,2.163002014E0,-8.693920898E-1,1.137424713E1
1.452584792E0,1.967807922E0,-1.036145325E0,1.155177795E1
1.462610792E0,1.750759277E0,-1.092727661E0,1.145837219E1
1.472636792E0,1.503174133E0,-1.254840546E0,1.143157791E1
1.482661792E0,1.449585571E0,-1.256038055E0,1.130883316E1
1.492688292E0,1.682201843E0,-1.027313690E0,1.099598373E1
1.502714292E0,2.088756409E0,-7.581733704E-1,1.039453445E1
1.512740292E0,2.212548981E0,-6.825805664E-1,9.975106659E0
1.522765292E0,2.116897888E0,-6.354286194E-1,9.760303345E0
1.532791292E0,1.949096832E0,-5.680686951E-1,9.480834503E0
1.542817292E0,1.983974304E0,-4.225712585E-1,9.287736053E0
1.552842292E0,1.912423096E0,-6.418652344E-1,9.174870758E0
1.562868292E0,1.685195618E0,-1.098266144E0,8.681646423E0
1.572894292E0,1.433868256E0,-1.352437592E0,8.430917816E0
1.582919292E0,1.107696533E0,-1.544637909E0,8.307424622E0
1.592945292E0,8.927435303E-1,-1.632505188E0,8.305179291E0
1.602971292E0,6.608757019E-1,-1.532662811E0,8.481662292E0
1.612997292E0,3.547622681E-1,-1.204694824E0,8.591384125E0
1.623022292E0,2.417472839E-1,-9.337582397E-1,8.856632538E0
1.633048292E0,9.834548950E-2,-8.310717773E-1,9.056616669E0
1.643074292E0,-7.873626709E-2,-6.303392029E-1,9.065448303E0
1.653099292E0,1.327738953E-1,-8.173004150E-1,9.256151733E0
1.663125292E0,6.571334839E-2,-1.449735260E0,9.031169586E0
1.673151292E0,3.396437073E-1,-1.832489319E0,8.894653473E0
1.683177292E0,6.917115784E-1,-1.945803680E0,8.924890594E0
1.693202292E0,1.213376770E0,-2.049537964E0,9.431437225E0
1.703228292E0,1.925895081E0,-1.970502319E0,1.017973114E1
1.713254292E0,2.287692719E0,-1.770368500E0,1.051952454E1
1.723279292E0,2.291285248E0,-1.883682861E0,1.096709381E1
1.733305292E0,2.408790894E0,-2.091301117E0,1.113639175E1
1.743331292E0,2.120789795E0,-2.207010498E0,1.109732300E1
1.753356292E0,1.469344482E0,-2.165995789E0,1.091111023E1
1.763382292E0,6.670129395E-1,-2.063009949E0,1.021655457E1
1.773408292E0,-1.381626892E-1,-2.011067963E0,9.373507690E0
1.783434292E0,-8.921447754E-1,-1.832489319E0,8.519683228E0
1.793459292E0,-1.303339691E0,-1.879341888E0,7.830067291E0
1.803485292E0,-9.041198730E-1,-1.898052979E0,7.640112305E0
1.813511292E0,-3.990701294E-1,-1.564247131E0,7.575895844E0
1.823536292E0,-3.474275208E-1,-1.666035461E0,8.172854462E0
1.833562292E0,-1.414558411E-1,-2.262994080E0,8.215964813E0
1.843588292E0,-1.026864624E-1,-3.143612823E0,8.080795898E0
1.853614292E0,3.966751099E-2,-3.671564941E0,8.642427979E0
1.863639292E0,8.161029053E-1,-3.168461151E0,9.954299927E0
1.873665292E0,9.895921326E-1,-2.808310089E0,1.284853134E1
1.883691292E0,4.767585754E-1,-2.972069550E0,1.369382355E1
1.893716292E0,-5.520520020E-1,-2.577789459E0,1.312171326E1
1.903742292E0,-5.125341797E-1,-2.392624512E0,1.127230911E1
1.913768292E0,-3.248245239E-1,-3.165167999E0,1.006132736E1
1.923794292E0,-8.396040344E-1,-3.589685211E0,9.740993500E0
1.933819292E0,-1.122216339E0,-3.370391235E0,9.493558044E0
1.943845292E0,-1.125659180E0,-3.098855896E0,9.274713135E0
1.953871292E0,-1.148561554E0,-3.038381653E0,9.266480255E0
