"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.799789042E0,-1.324991785E0,6.016299587E-1,-6.006037724E-1
2.809815042E0,-1.377192656E0,-6.865566730E-2,-9.010173404E-1
2.819840042E0,-1.210056721E0,-6.034884962E-1,-5.924825746E-1
2.829866042E0,-1.339325795E0,-1.498573252E0,-6.144242513E-1
2.839892042E0,-1.110652008E0,-2.031112803E0,9.673165798E-2
2.849918042E0,-7.690323807E-1,-2.024597835E0,5.435653532E-1
2.859943042E0,-2.868248581E-1,-1.179817261E0,2.027352458E-1
2.869969042E0,-1.381901711E-2,-2.871623155E-1,-5.667033702E-1
2.879995042E0,-3.207203633E-1,-1.262585768E0,-1.019690675E0
2.890020042E0,-9.261197296E-1,-2.918322236E0,-4.293025732E-1
2.900046042E0,-8.487886946E-1,-2.575168152E0,-6.211368549E-1
2.910072042E0,-1.098207964E-1,-9.855309489E-1,-7.650993973E-1
2.920098042E0,3.994580922E-1,5.406385294E-1,1.360559374E-1
2.930123042E0,1.125362872E0,1.320931039E0,9.665061557E-1
2.940149042E0,1.753788135E0,1.819662867E0,1.452836038E0
2.950175042E0,1.141286741E0,1.654523463E0,1.405206959E0
2.960200042E0,-3.513529028E-1,6.717477223E-1,-1.948689866E-1
2.970226042E0,-1.429715855E-1,4.894829938E-1,-6.716152829E-1
2.980252042E0,1.303996333E-1,2.264141303E-1,-1.158456212E-1
2.990277042E0,-3.189963117E-2,-4.350562334E-2,2.499181831E-1
3.000303042E0,3.691741928E-2,-2.324999124E-1,4.390159678E-1
3.010329042E0,1.098614345E-1,-2.783473456E-1,5.134726578E-1
3.020355042E0,-1.215367162E-1,-4.968817681E-2,2.251610720E-1
3.030380042E0,-3.371193181E-1,1.559902650E-1,6.050698757E-2
3.040406042E0,-4.032666761E-1,2.922534862E-1,1.590454352E-1
3.050432042E0,-3.202528784E-1,3.153549582E-1,2.217135537E-1
3.060457042E0,-2.209715420E-1,2.711324662E-1,2.254522634E-1
3.070483042E0,-1.727100858E-1,1.495524806E-1,1.299034971E-1
3.080509042E0,-9.821597368E-2,1.236031222E-1,8.344152153E-2
3.090535042E0,8.167975545E-2,1.244813740E-1,1.415634298E-1
3.100560042E0,4.417191356E-2,1.148796612E-1,2.655279100E-1
3.110586042E0,2.329896167E-2,2.017301095E-1,1.498606288E-1
3.120612042E0,8.034512848E-3,2.419253317E-1,-4.071942508E-2
3.130637042E0,-3.016154632E-2,1.926338884E-1,-4.299165308E-2
3.140663042E0,-7.274520993E-3,9.435885787E-2,-1.293345630E-2
3.150689042E0,-1.813850150E-2,6.093968153E-2,5.570057631E-2
3.160715042E0,-6.159310788E-2,1.045920700E-1,1.540741324E-1
3.170740042E0,-9.253861964E-2,2.000072274E-1,1.716660655E-1
3.180766042E0,-1.145335060E-1,2.133555436E-1,1.627356130E-1
3.190792042E0,-1.804838128E-1,1.061067912E-1,1.000084376E-1
3.200817042E0,-1.643563150E-1,5.464456916E-2,8.834499657E-2
3.210843042E0,-1.990120313E-1,2.559735596E-2,1.135505891E-1
3.220869042E0,-2.035870390E-1,1.602411908E-1,1.270459628E-1
3.230894042E0,-2.584909321E-1,7.457550538E-1,-4.588017762E-2
3.240920042E0,-5.258513595E-1,6.065255401E-1,-3.665087396E-1
3.250946042E0,-6.004869743E-1,4.581854796E-1,-1.065058637E-1
3.260972042E0,-4.165731847E-1,4.749316129E-1,3.010906756E-2
3.270997042E0,-2.723872787E-1,8.072411576E-1,-4.894762695E-2
3.281023042E0,-1.979839446E-1,1.080604337E0,1.157234144E-1
3.291049042E0,-1.050487375E-1,1.123486062E0,3.224365211E-1
3.301074042E0,3.098012727E-1,9.379749593E-1,3.232171243E-1
3.311100042E0,3.460854386E-1,7.751881832E-1,2.832128137E-1
3.321126042E0,2.249558347E-1,7.036004296E-1,2.352644759E-1
3.331152042E0,2.484101862E-2,3.976533490E-1,1.027367485E-1
3.341177042E0,4.063171685E-2,1.589410624E-1,1.343631685E-1
3.351203042E0,2.477348328E-2,5.169318706E-1,1.090195817E-1
3.361229042E0,-6.765023857E-2,8.230724940E-1,1.135961974E-1
3.371254042E0,1.953133750E-1,1.238975588E0,3.123828185E-1
3.381280042E0,6.264113358E-1,2.238088157E0,3.914564699E-1
3.391306042E0,5.180451804E-1,2.646435186E0,-1.423153818E-1
3.401332042E0,4.989812109E-1,3.044501641E0,-9.309293568E-2
3.411357042E0,5.114068365E-1,3.138997031E0,-1.865951765E-1
3.421383042E0,2.824360111E-1,1.725156951E0,5.613467360E-1
3.431409042E0,-1.095119172E-1,2.859697759E-1,1.259097319E0
3.441434042E0,-1.909437507E-1,-6.552807936E-1,8.412652284E-1
3.451460042E0,-3.750775418E-1,-2.222617886E0,1.925400406E-1
3.461486042E0,-3.549207276E-1,-2.696456654E0,-1.914132822E-1
3.471512042E0,-5.408051750E-1,-2.922062407E0,-6.588934958E-2
3.481537042E0,-6.921229300E-1,-2.712392364E0,1.111544001E-1
3.491563042E0,-3.925077993E-1,-1.908736426E0,1.387398094E-1
3.501589208E0,-2.943856734E-1,-1.454658031E0,-1.976358891E-1
3.511614208E0,-2.214536449E-1,-1.507813022E0,-1.768314958E-1
3.521640208E0,-1.713473922E-1,-1.489201042E0,-2.098021907E-1
3.531666208E0,-1.063596833E-1,-1.110849352E0,-1.391567159E-1
3.541692208E0,6.995316446E-2,-4.795930132E-1,8.229371309E-3
3.551717208E0,-2.768656611E-2,-1.759932974E-1,2.750530243E-3
3.561743208E0,1.780974180E-2,-9.404310822E-2,-3.564345717E-2
3.571769208E0,1.394213024E-1,2.846038663E-1,-3.900560617E-2
3.581794208E0,4.997352093E-2,8.073329589E-1,4.025398672E-2
3.591820208E0,2.947113633E-2,9.425971833E-1,3.116934317E-1
3.601846208E0,6.830132604E-2,7.861964437E-1,2.379571187E-1
3.611872208E0,3.244561493E-2,6.887520102E-1,1.967360026E-1
3.621897208E0,-4.936336398E-2,3.130207497E-1,3.937678742E-1
3.631923208E0,-1.151167658E-1,5.327778250E-2,3.570689946E-1
3.641949208E0,-1.272468147E-1,1.889922425E-2,3.177400374E-1
3.651974208E0,-2.084269255E-2,4.207013190E-2,4.414694595E-1
3.662000208E0,4.485954612E-2,6.108615428E-2,3.936099994E-1
3.672026208E0,2.592977017E-1,1.225899459E-1,3.707386154E-1
3.682051208E0,3.235857913E-1,2.683601551E-1,4.688320899E-1
3.692077208E0,4.176218829E-1,5.605781195E-1,6.941352493E-1
3.702103208E0,3.704561949E-1,7.274506375E-1,7.105635864E-1
3.712129208E0,-4.200347364E-1,6.581929994E-1,4.248364699E-1
3.722154208E0,-9.185984561E-1,4.037122339E-1,4.637239623E-1
3.732180208E0,-3.681518072E-1,1.107758514E0,7.286583799E-1
3.742206208E0,-3.383301303E-1,1.269159792E0,-3.043616080E-1
3.752231208E0,-5.685709709E-1,9.002431691E-1,-1.019532216E-1
3.762257208E0,-1.692330390E-1,2.265700610E0,-8.839042944E-1
3.772283208E0,-1.325329900E-1,2.746386321E0,-2.189534925E0
3.782309208E0,-3.231288314E-1,2.081634500E0,-1.725044977E0
3.792334208E0,-7.030814892E-1,1.391675625E0,-9.192407727E-2
3.802360208E0,-7.257213235E-1,1.355624324E-1,1.457012705E0
3.812386208E0,-4.990832448E-1,-7.444071244E-1,1.771796975E0
3.822411208E0,-1.425340676E-1,-7.379365955E-1,1.046548691E0
3.832437208E0,-8.717847705E-2,-7.736997014E-1,5.140907085E-1
3.842463208E0,-1.436690122E-1,-7.447777648E-1,6.843464255E-2
