"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.376138792E0,-1.940004349E0,-1.207731217E-1,8.368619084E-1
1.386163792E0,-1.763526797E0,1.548113227E-1,7.047291994E-1
1.396189792E0,-1.573140860E0,2.748279274E-1,5.461899638E-1
1.406215792E0,-1.388408542E0,6.122668833E-2,4.131197929E-1
1.416241792E0,-1.191227913E0,-2.476233989E-1,3.192933500E-1
1.426266792E0,-1.067447901E0,-6.133907437E-1,2.245415300E-1
1.436292792E0,-9.778877497E-1,-7.710136175E-1,1.336353272E-1
1.446318792E0,-8.996661901E-1,-8.407090902E-1,3.898045793E-2
1.456343792E0,-8.395693302E-1,-8.131551147E-1,-2.679197118E-2
1.466369792E0,-7.481377125E-1,-6.026082635E-1,-3.688907996E-2
1.476395792E0,-6.143252254E-1,-3.241238296E-1,-4.283194616E-2
1.486420792E0,-4.615090489E-1,-1.757002771E-1,-6.678760797E-2
1.496447292E0,-3.717833757E-1,-2.100721300E-1,-1.068537831E-1
1.506473292E0,-3.350128531E-1,-2.452469021E-1,-1.441297978E-1
1.516499292E0,-3.325516880E-1,-3.005295098E-1,-1.794126034E-1
1.526524292E0,-3.679275215E-1,-2.873971760E-1,-2.005650252E-1
1.536550292E0,-3.818118274E-1,-2.691934705E-1,-2.037896812E-1
1.546576292E0,-3.423011601E-1,-2.961563766E-1,-1.572687775E-1
1.556601292E0,-3.056257069E-1,-4.493467808E-1,-9.146325290E-2
1.566627292E0,-2.737375498E-1,-4.835034013E-1,-6.802530587E-2
1.576653292E0,-2.620258033E-1,-4.146045446E-1,-7.371658832E-2
1.586678292E0,-2.870486081E-1,-2.379360199E-1,-8.708433062E-2
1.596704292E0,-3.417231143E-1,-7.964830846E-2,-1.136976033E-1
1.606730292E0,-4.346165657E-1,6.006298959E-2,-1.111883670E-1
1.616756292E0,-5.409751534E-1,1.943277419E-1,-7.119709253E-2
1.626781292E0,-6.327844262E-1,2.979718447E-1,1.111935172E-2
1.636807292E0,-7.062109113E-1,4.515550733E-1,1.531956345E-1
1.646833292E0,-7.306933403E-1,6.306239367E-1,2.608153224E-1
1.656858292E0,-7.605536580E-1,7.694180012E-1,3.562193513E-1
1.666884292E0,-7.766351700E-1,8.382995725E-1,4.240522087E-1
1.676910292E0,-7.861635685E-1,7.713612914E-1,4.444957674E-1
1.686936292E0,-7.889452577E-1,5.767774582E-1,4.119711220E-1
1.696961292E0,-7.757587433E-1,3.065937161E-1,3.922687769E-1
1.706987292E0,-8.005656004E-1,7.411149144E-2,3.840649128E-1
1.717013292E0,-7.988492846E-1,4.683561623E-2,3.604392111E-1
1.727038292E0,-7.268893123E-1,1.422750503E-1,2.813965678E-1
1.737064292E0,-5.852540731E-1,3.052103221E-1,1.669957787E-1
1.747090292E0,-3.896795213E-1,5.146261454E-1,7.823634148E-2
1.757115292E0,-2.274087965E-1,7.276001573E-1,7.332894951E-2
1.767141292E0,-1.342298388E-1,9.131398797E-1,1.854214072E-1
1.777167292E0,-7.528714836E-2,1.086402297E0,4.247400761E-1
1.787193292E0,-3.473599255E-2,1.360265255E0,6.853671074E-1
1.797218292E0,-1.538415067E-2,1.690327406E0,8.750230670E-1
1.807244292E0,-3.059426323E-2,2.094741821E0,1.034653187E0
1.817270292E0,-1.263458878E-1,2.175086498E0,1.200363040E0
1.827295292E0,-6.080885530E-1,1.245074153E0,1.289212227E0
1.837321292E0,-1.327672362E0,3.732340783E-2,1.161016107E0
1.847347292E0,-1.764800668E0,-2.337424457E-1,8.880389333E-1
1.857373292E0,-1.652055264E0,2.966839373E-1,5.942653418E-1
1.867398292E0,-1.049541593E0,4.413527250E-1,3.784643412E-1
1.877424292E0,-5.615758896E-1,1.188802868E-1,2.488705814E-1
1.887450292E0,-2.142499238E-1,1.388593316E-1,2.599320412E-1
1.897475292E0,-1.744260490E-1,3.508668542E-1,2.613590956E-1
1.907501292E0,-2.687879503E-1,3.433822989E-1,1.449480802E-1
1.917527292E0,-3.134789467E-1,2.014298141E-1,9.125404060E-2
1.927553292E0,-3.069824278E-1,8.742333949E-2,1.436336190E-1
1.937578292E0,-3.056072593E-1,-3.878505901E-3,2.158828527E-1
1.947604292E0,-3.158114254E-1,-5.256721377E-2,2.619161606E-1
1.957630292E0,-3.390113711E-1,-9.252547473E-2,2.508570552E-1
1.967655292E0,-3.845826089E-1,-6.002771109E-2,1.995413899E-1
1.977681292E0,-5.175631046E-1,-1.775171608E-2,2.499068826E-1
1.987707292E0,-6.425899863E-1,3.170744330E-2,3.778547347E-1
1.997732292E0,-6.822937131E-1,3.405115008E-2,4.456592798E-1
2.007758292E0,-6.347528100E-1,1.052811220E-1,4.961802363E-1
2.017784292E0,-4.746439755E-1,4.528216720E-1,5.068623424E-1
2.027809292E0,-2.221475393E-1,9.560425282E-1,4.417403638E-1
2.037835292E0,4.824095871E-3,1.253031135E0,2.940805256E-1
2.047861292E0,1.255262792E-1,1.308181167E0,1.455613524E-1
2.057887292E0,7.689333707E-2,1.266209602E0,7.829822600E-2
2.067912292E0,-1.070951447E-1,1.174133182E0,9.358050674E-2
2.077938292E0,-3.818998337E-1,1.043377280E0,1.227009073E-1
2.087964292E0,-6.250027418E-1,1.003628254E0,8.315323293E-2
2.097989292E0,-7.302318215E-1,1.095324278E0,-4.895338044E-2
2.108015292E0,-7.371078134E-1,1.208705425E0,-1.994720399E-1
2.118041292E0,-7.106082439E-1,1.328812957E0,-3.620950282E-1
2.128067292E0,-6.357358694E-1,1.408188462E0,-5.247462988E-1
2.138092292E0,-5.098361969E-1,1.366648674E0,-6.375317574E-1
2.148118292E0,-3.900552094E-1,1.231599450E0,-6.279553175E-1
2.158144292E0,-3.275822997E-1,1.080322266E0,-4.727538228E-1
2.168169292E0,-2.503953576E-1,8.745089173E-1,-2.750356793E-1
2.178195292E0,-1.336874366E-1,6.086475849E-1,-2.083744705E-1
2.188221292E0,-1.934860833E-2,3.239852190E-1,-3.782473803E-1
2.198247292E0,8.315388113E-2,1.374226063E-1,-6.894357800E-1
2.208272292E0,1.214578673E-1,3.116754815E-2,-9.227550626E-1
2.218298292E0,1.218262017E-1,1.302031241E-2,-1.024725199E0
2.228324292E0,7.923958451E-2,-3.872171044E-2,-9.957802892E-1
2.238349292E0,3.184728324E-2,-2.211471349E-1,-9.348559976E-1
2.248375292E0,2.945310436E-2,-2.524856031E-1,-8.545507789E-1
2.258401292E0,5.320782214E-2,-1.646218449E-1,-8.243280053E-1
2.268426292E0,5.296467617E-2,-3.495784849E-2,-8.508378863E-1
2.278452292E0,-9.668385983E-2,5.894970298E-1,-1.019500613E0
2.288478292E0,-2.979109883E-1,5.182188749E-1,-1.181418300E0
2.298504292E0,-3.701598942E-1,7.521110773E-2,-1.098664641E0
2.308529292E0,-1.884694546E-1,-1.119683683E-1,-9.511492848E-1
2.318555292E0,7.962894440E-2,-1.675971448E-1,-1.045869112E0
2.328581292E0,2.049658298E-1,-3.368421197E-1,-1.321116686E0
2.338606292E0,1.552771181E-1,-3.694558740E-1,-1.538255334E0
2.348632292E0,3.054396808E-2,-2.360256165E-1,-1.626796842E0
2.358658292E0,2.390512079E-2,-2.972258627E-1,-1.599628091E0
2.368684292E0,1.069163829E-1,-3.239701092E-1,-1.436566830E0
2.378709292E0,2.023254037E-1,-1.600905955E-1,-1.292767406E0
2.388735292E0,2.032364607E-1,-1.018041149E-1,-1.240733147E0
2.398761292E0,1.689319313E-1,-4.504337907E-2,-1.214585900E0
2.408786292E0,2.579278350E-1,-1.887190491E-1,-1.132941365E0
2.418812292E0,3.356052935E-1,-3.550047576E-1,-1.100682378E0
2.428838292E0,2.888401747E-1,-4.097521603E-1,-1.116382837E0
2.438863292E0,2.186269462E-1,-2.945271432E-1,-1.129193544E0
2.448889292E0,1.485346854E-1,-1.065828204E-1,-1.084522486E0
2.458915292E0,8.668915927E-2,-1.390295476E-2,-9.864179492E-1
2.468941292E0,6.635068450E-3,9.118458629E-2,-9.399445057E-1
2.478966292E0,-2.262700051E-1,2.922416031E-1,-9.764730930E-1
2.488992292E0,-2.025729269E-1,2.799388953E-3,-9.862686992E-1
2.499018042E0,-7.066842914E-2,-3.666966259E-1,-8.846568465E-1
2.509043042E0,-4.546187446E-2,-5.776613355E-1,-7.617850304E-1
2.519069042E0,-1.381023377E-1,-5.838400126E-1,-8.171331882E-1
2.529095042E0,-1.614393592E-1,-3.652953804E-1,-8.347355723E-1
2.539121042E0,-1.032405794E-1,-4.184950292E-1,-8.778066039E-1
