Time_interval,Time,Acceleration_x,Acceleration_z,Acceleration_y
76,38.25067063,0.571595419842,-0.19085564490057197,-0.6752177758774001
77,38.7520276848,-0.2687888553666,-0.0680321552698,-0.17500469693200002
78,39.25338513,-0.2790096655604,0.2327296845714,0.7684155520314
79,39.74972887938775,0.4423041973002041,-0.13282901419244897,-0.5021934504065306
80,40.24607237,-0.23955656607359999,-0.2641144274566,-0.346062266112
81,40.747429602000004,0.31342493849408,0.31029060287960003,0.7252475353056
82,41.248786344600006,0.125416653682,0.720737437537,-0.05605463693940001
83,41.75014214,-0.09227813788830001,-0.60194408290522,-0.07345024379380001
84,42.251498510000005,0.2498939814972,0.17079815150480002,0.17994767573659998
85,42.7528546924,-0.27647321943000003,0.5617117542254,0.13299938730152
86,43.25421069,-0.017572672273800008,-0.80829631105,-0.35393991565759997
87,43.750553168367354,0.4692007150434694,0.0897832207023265,0.24629827931387754
