"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.292853092E0,2.950350285E0,-7.896314859E-1,1.160519028E1
2.302853092E0,1.947757602E0,-8.111668825E-1,9.801001549E0
2.312853092E0,1.301695466E0,-4.881358147E-1,8.044670105E0
2.322853092E0,-7.178467698E-3,-5.192425251E-1,5.467599869E0
2.332853092E0,-1.842473447E-1,-4.307080805E-1,5.032105923E0
2.342853092E0,-4.546363056E-1,-1.962114573E-1,5.158925533E0
2.352853092E0,-5.934200287E-1,-1.220339537E-1,5.848058701E0
2.362853092E0,-4.450650215E-1,-7.417750359E-2,6.731009960E0
2.372853092E0,-3.182454109E-1,-5.503492057E-2,7.542177200E0
2.382853092E0,-2.584248483E-1,5.742774159E-2,8.200202942E0
2.392853092E0,-2.584248483E-1,5.742774159E-2,8.200202942E0
2.402853092E0,-2.584248483E-1,5.742774159E-2,8.200202942E0
2.412853092E0,-2.584248483E-1,5.742774159E-2,8.200202942E0
2.422853092E0,-2.584248483E-1,5.742774159E-2,8.200202942E0
2.432853092E0,2.703889608E-1,6.245267391E-1,6.867401123E0
2.442853092E0,3.302095234E-1,8.183453679E-1,6.661618233E0
2.452853092E0,1.268195957E-1,1.136590719E0,6.496513367E0
2.462853092E0,1.268195957E-1,1.136590719E0,6.496513367E0
2.472853092E0,1.268195957E-1,1.136590719E0,6.496513367E0
2.482853092E0,2.249253243E-1,1.624726534E0,7.329215527E0
2.482853092E0,2.249253243E-1,1.624726534E0,7.329215527E0
2.502853092E0,4.259224236E-1,1.998006940E0,8.130811691E0
2.512853092E0,3.421736360E-1,2.220539331E0,8.508877754E0
2.522853092E0,2.799602449E-1,2.347358942E0,8.910871506E0
2.532853092E0,2.799602449E-1,2.347358942E0,8.910871506E0
2.542853092E0,-2.344966233E-1,2.208575249E0,9.954142570E0
2.552853092E0,-5.551348329E-1,2.029113531E0,9.884750366E0
2.562853092E0,-4.977070987E-1,1.837687731E0,9.595218658E0
2.572853092E0,-4.450650215E-1,1.746760488E0,9.367900848E0
2.582853092E0,-3.397808075E-1,1.730010748E0,9.221938133E0
2.592853092E0,-1.220339537E-1,1.763510346E0,9.147761345E0
2.602853092E0,7.130611539E-1,1.921436548E0,8.800801277E0
2.612853092E0,1.390229940E0,2.021935225E0,8.829515457E0
2.622853092E0,1.756331801E0,2.120040894E0,9.274580956E0
2.632853092E0,1.962114573E0,2.268395901E0,1.005703354E1
2.642853092E0,2.100898266E0,2.414358139E0,1.035135078E1
