"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.952888919E0,3.564395905E-1,3.649916947E-1,-2.625191510E-1
1.962888919E0,3.503309488E-1,3.521635532E-1,-2.124282271E-1
1.972888919E0,3.497200906E-1,3.087921441E-1,-1.580612659E-1
1.982888919E0,3.320049942E-1,1.597411335E-1,-1.030834317E-1
1.992888919E0,3.118464649E-1,6.078104675E-2,-1.091920808E-1
2.002888919E0,2.813032269E-1,-1.679878123E-2,-1.287397593E-1
2.012888919E0,2.525925934E-1,-4.001164436E-2,-1.507308781E-1
2.022888919E0,2.587012351E-1,-1.679878123E-2,-1.458439678E-1
2.032888919E0,2.904661894E-1,9.315688163E-2,-1.153007299E-1
2.042888919E0,3.442223072E-1,2.770271897E-1,-6.093376130E-2
2.052888919E0,3.442223072E-1,2.770271897E-1,-6.093376130E-2
2.062888919E0,3.442223072E-1,2.770271897E-1,-6.093376130E-2
2.072888919E0,3.442223072E-1,2.770271897E-1,-6.093376130E-2
2.082888919E0,3.442223072E-1,2.770271897E-1,-6.093376130E-2
2.092888919E0,3.772090077E-1,2.440404743E-1,1.359174121E-2
2.102888919E0,3.039052188E-1,6.139190868E-2,-6.582067907E-2
2.112888919E0,2.391535640E-1,-4.428769648E-2,-1.366809905E-1
2.122888919E0,2.391535640E-1,-4.428769648E-2,-1.366809905E-1
2.132888919E0,2.391535640E-1,-4.428769648E-2,-1.366809905E-1
2.142888919E0,2.391535640E-1,-4.428769648E-2,-1.366809905E-1
2.152888919E0,7.238747925E-2,-6.627883017E-2,-2.325867712E-1
2.162888919E0,2.779434808E-2,-7.544180006E-2,-2.099847645E-1
2.172888919E0,-1.069013402E-2,-7.971785218E-2,-1.806632578E-1
2.182888919E0,-2.901607752E-2,-8.949168772E-2,-1.434005052E-1
2.192888919E0,-2.901607752E-2,-8.949168772E-2,-1.434005052E-1
2.202888919E0,-2.901607752E-2,-8.949168772E-2,-1.434005052E-1
2.212888919E0,1.676823795E-1,3.451386094E-2,7.483093534E-3
2.222888919E0,2.275471240E-1,7.666353136E-2,8.093958721E-3
2.232888919E0,2.660316229E-1,1.212566569E-1,-8.399390616E-3
2.242888919E0,2.721402645E-1,1.670715213E-1,-3.466657549E-2
2.252888919E0,2.452622056E-1,1.841757298E-1,-7.070759684E-2
2.262888919E0,2.452622056E-1,1.841757298E-1,-7.070759684E-2
2.272888919E0,9.010255337E-2,8.277218044E-2,-1.440113783E-1
2.282888919E0,6.750056148E-2,6.750056148E-2,-1.159115955E-1
2.292888919E0,5.833758786E-2,1.585194170E-1,-7.437278330E-2
2.302888919E0,5.833758786E-2,2.910770774E-1,-2.733619884E-2
2.312888919E0,5.161807314E-2,3.827067912E-1,1.847865991E-2
2.322888919E0,3.329212964E-2,4.156934917E-1,5.513054505E-2
2.332888919E0,-5.161807314E-2,4.034761786E-1,5.268708616E-2
2.342888919E0,-1.444695145E-1,3.240637779E-1,1.114828233E-2
2.352888919E0,-2.764163017E-1,1.719584316E-1,-5.299251899E-2
2.362888919E0,-4.205803871E-1,-2.290742844E-2,-1.336266696E-1
2.372888919E0,-5.372555852E-1,-2.489273995E-1,-2.038761228E-1
2.382888919E0,-6.142245531E-1,-3.845393658E-1,-2.515235841E-1
2.392888919E0,-6.301070452E-1,-4.175260663E-1,-2.582430840E-1
2.402888919E0,-5.115992427E-1,-2.800815105E-1,-1.452330947E-1
2.412888919E0,-4.260781705E-1,-7.788526267E-2,-7.559451461E-2
2.422888919E0,-3.344484568E-1,1.884517819E-1,-1.069013379E-3
2.432888919E0,-2.568686306E-1,4.407389462E-1,5.635227636E-2
2.442888919E0,-2.159406990E-1,5.677987933E-1,7.162389904E-2
2.452888919E0,-2.208276242E-1,4.944950342E-1,3.924806044E-2
2.462888919E0,-2.580903769E-1,2.263254076E-1,-9.010255337E-3
2.472888919E0,-3.222311735E-1,-4.706713259E-1,-1.939495653E-2
2.482888919E0,-3.063486814E-1,-7.180715203E-1,3.863719851E-2
2.492888919E0,-2.623664141E-1,-8.958331943E-1,1.192713454E-1
2.502888919E0,-2.623664141E-1,-8.958331943E-1,1.192713454E-1
2.512888919E0,-1.279761642E-1,-9.868520498E-1,2.451094985E-1
2.522888919E0,-6.200277433E-2,-9.013310075E-1,2.554942071E-1
2.532888919E0,-4.581485875E-3,-7.852666974E-1,2.280052751E-1
2.542888919E0,-4.581485875E-3,-7.852666974E-1,2.280052751E-1
2.552888919E0,-4.581485875E-3,-7.852666974E-1,2.280052751E-1
2.562888919E0,-4.581485875E-3,-7.852666974E-1,2.280052751E-1
2.572888919E0,-4.581485875E-3,-7.852666974E-1,2.280052751E-1
2.572888919E0,4.187478125E-1,-6.078104675E-2,3.068068326E-1
2.592888919E0,5.085449219E-1,4.639517963E-1,2.994764447E-1
2.602888919E0,4.376846254E-1,6.185005903E-1,1.504254490E-1
2.612888919E0,4.376846254E-1,6.185005903E-1,1.504254490E-1
2.622888919E0,4.376846254E-1,6.185005903E-1,1.504254490E-1
2.632888919E0,-1.731801629E-1,-9.282090068E-1,-4.268417656E-1
2.642888919E0,-2.489273995E-1,-1.185383081E0,-3.101665974E-1
2.652888919E0,-2.721402645E-1,-1.153007269E0,-1.458439678E-1
2.662888919E0,-2.623664141E-1,-9.221003652E-1,8.093958721E-3
2.672888919E0,-2.196058929E-1,-5.714640021E-1,1.522580534E-1
2.682888919E0,-2.196058929E-1,-5.714640021E-1,1.522580534E-1
2.692888919E0,-7.727439702E-2,7.596103549E-1,2.903134823E-1
2.702888919E0,-7.971785218E-2,9.300416112E-1,1.834121495E-1
2.712888919E0,-1.108719558E-1,8.524618149E-1,4.352411628E-2
2.722888919E0,-1.707367003E-1,6.068941355E-1,-7.925970852E-2
2.732888919E0,-2.367101014E-1,2.599229515E-1,-1.531743407E-1
2.742888919E0,-2.965748608E-1,-1.065959036E-1,-1.715002805E-1
2.752888919E0,-3.949240744E-1,-6.276635528E-1,-1.495091617E-1
2.762888919E0,-4.327977002E-1,-7.308996916E-1,-1.415679157E-1
2.772888919E0,-4.505127668E-1,-7.480039001E-1,-1.256854236E-1
2.782888919E0,-4.505127668E-1,-7.480039001E-1,-1.256854236E-1
2.792888919E0,-4.089739621E-1,-4.773908257E-1,-2.611446939E-2
2.802888919E0,-3.503309488E-1,-1.774562150E-1,5.268708616E-2
2.812888919E0,-2.849684060E-1,1.579085439E-1,1.333212405E-1
2.822888919E0,-2.849684060E-1,1.579085439E-1,1.333212405E-1
2.832888919E0,-2.849684060E-1,1.579085439E-1,1.333212405E-1
2.842888919E0,-2.849684060E-1,1.579085439E-1,1.333212405E-1
2.852888919E0,-2.849684060E-1,1.579085439E-1,1.333212405E-1
2.862888919E0,-1.664606482E-1,2.168569900E-2,-3.193295598E-1
2.872888919E0,-2.275471240E-1,-2.397644222E-1,-4.408916533E-1
2.882888919E0,-2.886336148E-1,-4.395172000E-1,-4.977020919E-1
2.892888919E0,-2.886336148E-1,-4.395172000E-1,-4.977020919E-1
2.902888919E0,-2.886336148E-1,-4.395172000E-1,-4.977020919E-1
2.912888919E0,-2.886336148E-1,-4.395172000E-1,-4.977020919E-1
2.922888919E0,-3.704894781E-1,-4.474584460E-1,-2.771798968E-1
2.932888919E0,-3.057378232E-1,-3.686569035E-1,-1.281288862E-1
2.942888919E0,-1.933387071E-1,-2.208276242E-1,5.207622424E-2
2.952888919E0,-4.001164436E-2,9.468403645E-3,2.029598206E-1
2.962888919E0,-4.001164436E-2,9.468403645E-3,2.029598206E-1
2.972888919E0,-4.001164436E-2,9.468403645E-3,2.029598206E-1
2.982888919E0,5.262600183E-1,1.091920853E0,3.715584874E-1
2.982888919E0,5.262600183E-1,1.091920853E0,3.715584874E-1
3.002888919E0,5.800161362E-1,1.050992846E0,4.352411628E-2
3.012888919E0,5.561923981E-1,7.638863921E-1,-1.574503928E-1
3.022888919E0,5.036579967E-1,4.101957083E-1,-3.229947388E-1
3.032888919E0,5.036579967E-1,4.101957083E-1,-3.229947388E-1
3.042888919E0,3.155116439E-1,-9.010255337E-2,-2.881754637E-1
3.052888919E0,2.306014597E-1,-5.650499091E-2,-2.203694731E-1
3.062888919E0,1.212566569E-1,-2.657261863E-2,-2.118173689E-1
3.072888919E0,-3.970621154E-3,-4.489856213E-2,-2.570213675E-1
3.082888919E0,-1.353065521E-1,-1.120936871E-1,-3.254382014E-1
3.092888919E0,-2.715294063E-1,-2.183841616E-1,-3.987419903E-1
3.102888919E0,-4.590648711E-1,-4.981602132E-1,-4.060723484E-1
3.112888919E0,-4.663952589E-1,-5.873464942E-1,-3.052796721E-1
3.122888919E0,-4.126391709E-1,-5.598575473E-1,-1.550069451E-1
3.132888919E0,-3.222311735E-1,-3.857611120E-1,-7.788525894E-3
3.142888919E0,-2.043342739E-1,-1.279761642E-1,1.259908676E-1
3.152888919E0,-6.444623321E-2,1.994473487E-1,2.457203567E-1
3.162888919E0,2.299905866E-1,8.823941946E-1,3.929387629E-1
3.172888919E0,3.564395905E-1,1.099251151E0,3.721693754E-1
3.182888919E0,4.718930423E-1,1.138346553E0,3.031416535E-1
3.192888919E0,4.718930423E-1,1.138346553E0,3.031416535E-1
3.202888919E0,4.718930423E-1,1.138346553E0,3.031416535E-1
3.212888919E0,4.718930423E-1,1.138346553E0,3.031416535E-1
3.222888919E0,9.202677608E-1,3.802633286E-1,-6.093376130E-2
3.232888919E0,9.202677608E-1,3.802633286E-1,-6.093376130E-2
