"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.390545221E0,5.982056856E-1,2.342573404E0,8.650053978E0
1.400545221E0,5.718846321E-1,2.354537487E0,8.700303078E0
1.410545221E0,4.019941986E-1,2.361716032E0,8.499305725E0
1.420545221E0,3.565305769E-1,2.378465652E0,8.197810173E0
1.430545221E0,2.871387303E-1,2.378465652E0,7.963313580E0
1.440545221E0,1.962114573E-1,2.397608280E0,7.996813297E0
1.450545221E0,2.153540403E-2,2.481357098E0,8.140382767E0
1.460545221E0,-1.363908947E-1,2.579462767E0,8.140382767E0
1.470545221E0,-1.339980662E-1,2.682354212E0,8.063812256E0
1.480545221E0,5.862415433E-1,2.311466694E0,8.370093346E0
1.490545221E0,9.092726111E-1,2.079362869E0,8.836693764E0
1.500545221E0,1.194018483E0,1.828116536E0,9.099904060E0
1.510545221E0,1.423729420E0,1.476371527E0,9.202795982E0
1.520545221E0,1.485942841E0,1.136590719E0,9.121439934E0
1.530545221E0,1.289731383E0,1.009771109E0,8.982656479E0
1.540545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.550545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.560545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.570545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.580545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.590545221E0,8.542376757E-1,1.146162033E0,8.968298912E0
1.600545221E0,-5.431707501E-1,2.584248543E0,8.472985268E0
1.610545221E0,-3.086741269E-1,2.557927370E0,8.616554260E0
1.620545221E0,-3.086741269E-1,2.557927370E0,8.616554260E0
1.630545221E0,-3.086741269E-1,2.557927370E0,8.616554260E0
1.640545221E0,-3.086741269E-1,2.557927370E0,8.616554260E0
1.650545221E0,1.651047617E-1,1.883151412E0,9.365508080E0
1.660545221E0,1.962114573E-1,1.713261008E0,9.253045082E0
1.670545221E0,1.866401732E-1,1.588834286E0,9.298508644E0
1.680545221E0,2.033899277E-1,1.672582984E0,9.293723106E0
1.690545221E0,2.033899277E-1,1.672582984E0,9.293723106E0
1.700545221E0,9.092725813E-2,2.431107759E0,9.382257462E0
1.710545221E0,-1.220339537E-1,2.701496840E0,9.399007797E0
1.720545221E0,-2.392822653E-1,2.833101988E0,9.339186668E0
1.730545221E0,-2.344966233E-1,2.730210543E0,9.238688469E0
1.740545221E0,3.302095234E-1,2.191825628E0,9.186046600E0
1.750545221E0,1.050449133E0,1.574477315E0,9.193224907E0
1.760545221E0,1.569691658E0,9.523434043E-1,9.487542152E0
1.770545221E0,1.500299811E0,9.954141974E-1,9.956535339E0
1.780545221E0,9.379864931E-1,1.313659668E0,1.068634605E1
1.790545221E0,3.182454109E-1,1.624726534E0,1.114337540E1
1.800545221E0,4.307080805E-2,1.619940877E0,1.121755219E1
1.810545221E0,1.842473447E-1,1.337587833E0,1.088734341E1
1.820545221E0,3.278166950E-1,1.237089276E0,1.059302616E1
1.830545221E0,5.479564071E-1,1.308874011E0,1.055474091E1
1.840545221E0,8.231309652E-1,1.399801254E0,1.103330517E1
1.850545221E0,8.446664214E-1,1.622333765E0,1.159083271E1
1.860545221E0,8.015955687E-1,1.933400750E0,1.187797165E1
1.870545221E0,7.992027402E-1,2.141576290E0,1.189232826E1
1.880545221E0,7.345965505E-1,2.227717876E0,1.166501045E1
1.890545221E0,7.465606928E-1,2.124826431E0,1.120080280E1
1.900545221E0,7.657032609E-1,1.674975872E0,1.033938694E1
1.910545221E0,7.130611539E-1,1.579262972E0,1.007617569E1
1.920545221E0,5.670989752E-1,1.610369682E0,9.932606697E0
1.930545221E0,5.670989752E-1,1.610369682E0,9.932606697E0
1.940545221E0,2.751746178E-1,1.751546144E0,9.700503349E0
1.940545221E0,2.751746178E-1,1.751546144E0,9.700503349E0
1.960545221E0,-4.019941986E-1,1.971685886E0,9.875179291E0
1.970545221E0,-4.019941986E-1,1.971685886E0,9.875179291E0
1.980545221E0,-4.019941986E-1,1.971685886E0,9.875179291E0
1.990545221E0,-4.019941986E-1,1.971685886E0,9.875179291E0
2.000545221E0,3.900300860E-1,1.361516118E0,1.011685371E1
2.010545221E0,4.211367965E-1,1.323230863E0,1.030588722E1
2.020545221E0,3.756731451E-1,1.416550994E0,1.045902824E1
2.030545221E0,2.799602449E-1,1.440479279E0,1.029392338E1
2.040545221E0,2.799602449E-1,1.440479279E0,1.029392338E1
2.050545221E0,2.799602449E-1,1.440479279E0,1.029392338E1
2.060545221E0,-1.339980662E-1,1.828116536E0,8.685946465E0
2.070545221E0,-1.818545163E-1,1.840080619E0,8.563912392E0
2.080545221E0,-9.332008660E-2,1.926222205E0,8.559126854E0
2.090545221E0,5.024927482E-2,1.921436548E0,8.501698494E0
2.100545221E0,1.387837082E-1,1.959721804E0,8.403593063E0
2.110545221E0,1.387837082E-1,1.959721804E0,8.403593063E0
2.120545221E0,1.387837082E-1,1.959721804E0,8.403593063E0
2.130545221E0,-8.135596663E-2,1.598405480E0,8.140382767E0
2.140545221E0,-2.105683982E-1,1.543370605E0,8.181060791E0
2.150545221E0,-3.421736360E-1,1.490728498E0,8.295916557E0
2.160545221E0,-3.804588020E-1,1.450050473E0,8.425128937E0
2.170545221E0,-4.570291340E-1,1.397408366E0,8.623732567E0
2.180545221E0,-5.982056856E-1,1.416550994E0,9.399007797E0
2.190545221E0,-6.029912829E-1,1.433300734E0,9.681360245E0
