"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.610893034E0,1.805183291E-1,7.898707390E-1,-6.290254593E-1
1.620893034E0,3.306728005E-1,6.410722733E-1,-3.637933731E-1
1.630893034E0,5.465950966E-1,4.536015987E-1,-8.371639252E-2
1.640893034E0,6.193079948E-1,3.145432472E-1,2.791309357E-2
1.650893034E0,6.172933578E-1,1.255416870E-1,-9.916305542E-2
1.660893034E0,5.881606340E-1,-9.389889240E-2,-1.077976227E-1
1.670893034E0,5.415869355E-1,-1.059715748E-1,-7.755565643E-2
1.680893034E0,4.530417323E-1,3.964459896E-2,-4.211425781E-3
1.690893034E0,4.740180373E-1,2.541739941E-1,-6.998825073E-2
1.700893034E0,2.519768476E-1,5.848791599E-1,4.431343079E-2
1.710893034E0,2.407388389E-2,8.078759909E-1,4.364967346E-2
1.720893034E0,-8.491475880E-2,8.179966211E-1,-5.945396423E-2
1.730893034E0,2.643550932E-1,3.869932890E-1,-1.373767853E-1
1.740893034E0,1.050240636E0,-3.169653416E-1,-1.481409073E-1
1.750893034E0,1.497832417E0,-7.880145311E-1,-5.954551697E-2
1.760893034E0,1.528071165E0,-9.250879288E-1,1.803140640E-1
1.770893034E0,1.234537125E0,-7.249565125E-1,7.779054642E-1
1.780893034E0,4.404831231E-1,-2.353730202E-1,1.515646935E0
1.790893034E0,-1.618747562E-1,5.566251278E-2,1.810738564E0
1.800893034E0,-2.127105594E-1,-1.156461239E-1,1.544631004E0
1.810893034E0,-3.418275714E-2,-2.103123665E-1,1.171369553E0
1.820893034E0,4.102784395E-2,-9.983539581E-2,9.414548874E-1
1.830893034E0,3.159215450E-1,-2.151370049E-2,1.118935585E0
1.840893034E0,6.268432736E-1,1.565654278E-1,1.686099052E0
1.850893034E0,6.474027634E-1,4.857288599E-1,2.214435577E0
1.860893034E0,6.388136744E-1,8.043762445E-1,2.359950066E0
1.870893034E0,6.038634777E-1,9.623916149E-1,2.194218636E0
1.880893034E0,5.796253085E-1,8.851382732E-1,1.704241753E0
1.890893034E0,6.343978643E-1,6.207510233E-1,1.144359589E0
1.900893034E0,6.163152456E-1,3.531069756E-1,7.277078629E-1
1.910893034E0,5.527187586E-1,2.424649000E-1,4.609756470E-1
1.920893034E0,4.126041532E-1,2.616080046E-1,2.923994064E-1
1.930893034E0,3.128993511E-1,3.014843464E-1,1.463804245E-1
1.940893034E0,1.006044447E-3,3.836234808E-1,1.781845093E-1
1.950893034E0,-3.444445431E-1,4.702404737E-1,3.020772934E-1
1.960893034E0,-4.822120368E-1,4.264999628E-1,3.346138000E-1
1.970893034E0,-3.306592107E-1,2.412724495E-1,3.014287949E-1
1.980893034E0,3.967949003E-2,1.179540157E-2,4.295721054E-1
1.990893034E0,3.891453743E-1,-1.898486614E-1,5.156154633E-1
2.000893034E0,5.340453982E-1,-3.103280067E-1,6.796693802E-1
2.010893034E0,4.720053077E-1,-2.866905928E-1,8.811683655E-1
2.020893034E0,3.971334100E-1,-2.488844395E-1,7.851676941E-1
2.030893034E0,1.367842257E-1,-1.550976038E-1,5.021476746E-1
2.040893034E0,-5.811476707E-2,-2.310025692E-2,-6.756973267E-2
2.050893034E0,2.875331044E-2,7.635235786E-3,-6.017837524E-1
2.060893034E0,1.340413392E-1,-2.137279510E-2,-8.960752487E-1
2.070893034E0,1.847059578E-1,3.056645393E-3,-9.236669540E-1
2.080893034E0,3.855238557E-1,-5.688309669E-3,-9.521322250E-1
2.090893034E0,5.062253475E-1,-1.119554043E-2,-1.046195030E0
2.100893034E0,4.868779182E-1,-4.305112362E-2,-1.115064621E0
2.110893034E0,4.187524915E-1,-1.824569702E-1,-1.153155327E0
2.120893034E0,3.475500047E-1,-3.363928795E-1,-1.249818802E0
2.130893034E0,2.362874150E-1,-4.588117599E-1,-1.274191856E0
2.140893034E0,7.010856271E-2,-5.297908783E-1,-1.171135902E0
2.150893034E0,-9.968310595E-3,-5.721600056E-1,-1.022015572E0
2.160893034E0,-8.492085338E-2,-6.311452389E-1,-8.146066666E-1
2.170893034E0,-1.734709442E-1,-6.455960274E-1,-4.069366455E-1
2.180893034E0,-2.489169538E-1,-6.045123339E-1,4.131984711E-2
2.190893034E0,-2.578674853E-1,-5.706462860E-1,3.176889420E-1
2.200893034E0,-2.168899775E-1,-4.930698872E-1,4.154033661E-1
2.210893034E0,-3.622606397E-2,-4.252049923E-1,3.319807053E-1
2.220893034E0,5.723753572E-2,-2.303624153E-1,2.392854691E-1
2.230893034E0,1.126762033E-1,-3.806734085E-2,3.480625153E-2
2.240893034E0,1.357512772E-1,4.401373863E-2,-6.604099274E-2
2.250893034E0,9.790429473E-2,1.291489601E-2,-6.924819946E-2
2.260893034E0,-1.674669981E-1,-6.467986107E-2,-2.668762207E-2
2.270893034E0,-3.332070708E-1,3.361916542E-2,1.565885544E-1
2.280893034E0,-5.753317475E-1,1.263244152E-1,9.341716766E-2
2.290893034E0,-7.299906015E-1,2.190957069E-1,-5.029487610E-2
2.300893034E0,-8.479391336E-1,3.052449226E-1,-1.645059586E-1
2.310893034E0,-8.752486706E-1,4.570434093E-1,-2.411823273E-1
2.320893034E0,-6.910142899E-1,4.789130688E-1,-3.484296799E-1
2.330893034E0,-3.595433235E-1,3.614499569E-1,-3.924980164E-1
2.340893034E0,4.103046656E-2,1.426782608E-1,-3.484258652E-1
2.350893034E0,3.311882317E-1,-8.310031891E-2,1.212215424E-2
2.360893034E0,5.764029026E-1,-5.616593361E-2,7.064132690E-1
2.370893034E0,3.729758263E-1,-6.999278069E-2,1.216944695E0
2.380893034E0,-5.963575840E-2,-1.040184498E-2,1.560118675E0
2.390893034E0,-6.321637034E-1,4.820716381E-2,1.710305214E0
2.400893034E0,-8.938158154E-1,-2.924382687E-2,1.385004997E0
2.410893034E0,-9.916357398E-1,-4.830956459E-3,8.642616272E-1
2.420893034E0,-9.256861806E-1,3.021919727E-2,3.635654449E-1
2.430893034E0,-5.859488845E-1,-6.152892113E-2,7.442855835E-2
2.440893034E0,-2.230628729E-1,-1.756787300E-1,5.292320251E-2
2.450893034E0,-2.014085054E-1,-7.866644859E-2,2.812519073E-1
2.460893034E0,-5.090422034E-1,1.759414673E-1,4.081792831E-1
2.470893034E0,-8.268198967E-1,3.492386341E-1,3.732137680E-1
2.480893034E0,-9.663234353E-1,3.190255165E-1,2.976837158E-1
2.490893034E0,-8.042017817E-1,1.893115044E-2,7.599925995E-2
2.500893034E0,-4.136324227E-1,-3.040966988E-1,-1.465377808E-1
2.510893034E0,6.934398413E-2,-5.177448988E-1,-2.540588379E-1
2.520893034E0,4.566340148E-1,-4.953975677E-1,-1.305484772E-1
2.530893034E0,4.708284140E-1,-3.097112179E-1,9.505367279E-2
2.540893034E0,9.257052094E-2,3.626382351E-2,1.971225739E-1
2.550893034E0,-4.191275835E-1,3.419675827E-1,6.600379944E-2
