"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.761909889E2,6.718029785E-1,-5.276228027E0,8.083340607E0
1.762010149E2,3.466790771E-1,-5.113217010E0,8.053253174E0
1.762110409E2,-1.434017944E-1,-5.268593903E0,7.723488922E0
1.762210669E2,3.435356140E-1,-5.723048859E0,6.836433563E0
1.762310929E2,1.237027588E0,-6.433022461E0,5.933062134E0
1.762411189E2,1.562001801E0,-7.217690735E0,5.470823364E0
1.762511439E2,1.293011169E0,-7.735014954E0,5.093458099E0
1.762611699E2,3.427871704E-1,-7.850424957E0,4.682712250E0
1.762711959E2,-5.810916138E-1,-7.104076996E0,4.833897858E0
1.762812219E2,-9.584568787E-1,-5.849984894E0,5.419929199E0
1.762912479E2,-1.344204712E0,-5.654192047E0,6.094426575E0
1.763012739E2,-1.028511200E0,-6.203699341E0,6.239025879E0
1.763112999E2,-5.343887329E-1,-6.822811890E0,5.971083069E0
1.763213259E2,-2.109114075E-1,-6.944658508E0,5.923631744E0
1.763313519E2,-3.267704773E-1,-6.506220245E0,6.016588440E0
1.763413779E2,-5.397775269E-1,-6.134842529E0,6.116879883E0
1.763514039E2,-1.402583313E-1,-6.289620667E0,6.406527557E0
1.763614299E2,4.909790039E-1,-6.970704346E0,6.724466400E0
1.763714559E2,8.882528687E-1,-7.895331573E0,6.939718781E0
1.763814819E2,4.486170959E-1,-8.866362305E0,7.342531128E0
1.763915079E2,-2.544708252E-2,-9.859397278E0,7.735464020E0
1.764015339E2,-4.089495850E-1,-1.050635193E1,7.864046631E0
1.764115599E2,-6.432124329E-1,-1.075288925E1,7.836054840E0
1.764215859E2,-7.584727478E-1,-1.072759186E1,7.410190430E0
1.764316119E2,-5.695655823E-1,-1.057835220E1,7.023694153E0
1.764416379E2,-5.583389282E-1,-1.031924103E1,6.786138153E0
1.764516639E2,-5.557942200E-1,-9.640402679E0,6.101461945E0
1.764616889E2,-6.445596313E-1,-8.970845032E0,5.663323059E0
1.764717149E2,-2.182461548E-1,-8.586145020E0,5.666017456E0
1.764817409E2,1.704954529E-1,-8.296048279E0,6.210135956E0
1.764917669E2,6.749464417E-1,-7.932454376E0,6.778204651E0
1.765017929E2,1.301094360E0,-7.172335052E0,7.694598999E0
1.765118189E2,2.344574432E0,-6.029461670E0,7.411238251E0
1.765218449E2,3.259022827E0,-5.030588837E0,6.737938385E0
1.765318709E2,4.309687958E0,-4.520000610E0,6.263574829E0
1.765418969E2,5.009333038E0,-4.323459320E0,5.830974426E0
1.765519229E2,5.045258331E0,-5.008285217E0,5.722001038E0
1.765619489E2,4.266427917E0,-6.332431641E0,5.970933380E0
1.765719749E2,3.152444458E0,-7.275470581E0,6.406377869E0
1.765820009E2,2.410587158E0,-7.131919098E0,6.476132812E0
1.765920269E2,2.234702911E0,-6.450086975E0,5.568570099E0
1.766020529E2,2.287692719E0,-5.588628387E0,4.308041382E0
1.766120789E2,2.025587769E0,-5.064717865E0,3.667523346E0
1.766221049E2,1.954785004E0,-4.460723877E0,3.904929657E0
1.766321309E2,2.406395874E0,-4.140689392E0,3.304977264E0
1.766421569E2,2.568658447E0,-4.476590881E0,2.840792542E0
1.766521829E2,2.575993195E0,-5.218897247E0,2.959795074E0
1.766622089E2,2.304607544E0,-6.376889191E0,3.428320770E0
1.766722339E2,1.881287842E0,-7.232360229E0,3.989354095E0
1.766822599E2,1.909579010E0,-7.507188721E0,4.528981934E0
1.766922859E2,1.815724182E0,-7.393425293E0,5.325026550E0
1.767023119E2,1.561403046E0,-7.073390808E0,6.035000153E0
1.767123379E2,1.455273743E0,-6.903943176E0,6.284231873E0
1.767223639E2,1.238674164E0,-7.052284698E0,6.223607941E0
1.767323899E2,7.099736023E-1,-7.542664948E0,6.182892609E0
1.767424159E2,-2.619552612E-2,-8.127349091E0,6.515650635E0
1.767524419E2,-5.866300964E-1,-8.749904480E0,7.073091431E0
1.767624679E2,-8.599617004E-1,-9.571396179E0,7.458090820E0
1.767724939E2,-1.013841705E0,-1.048180298E1,7.816894684E0
1.767825199E2,-5.653742981E-1,-1.113175140E1,7.734565887E0
1.767925459E2,-9.524693298E-1,-1.156614807E1,7.792645111E0
1.768025719E2,-1.388662262E0,-1.152887558E1,6.767277374E0
1.768125979E2,-9.719288635E-1,-1.061397812E1,6.092779999E0
1.768226239E2,-7.099736023E-1,-9.389075317E0,5.855523376E0
1.768326499E2,-5.287005615E-1,-8.328381042E0,6.152505798E0
1.768426759E2,-3.891906738E-1,-7.499105530E0,6.551725616E0
1.768527019E2,-3.143463135E-3,-6.787784729E0,7.058122559E0
1.768627279E2,4.445755005E-1,-6.222560120E0,7.682324524E0
1.768727539E2,6.179150391E-1,-5.862409058E0,8.194259949E0
1.768827788E2,6.577322388E-1,-5.514981537E0,8.630303192E0
1.768928048E2,4.469705200E-1,-5.021607513E0,8.801397400E0
1.769028308E2,1.460961914E-1,-4.467310181E0,8.224197693E0
1.769128568E2,6.676116943E-2,-4.353247375E0,7.027136993E0
1.769228828E2,1.296304321E-1,-5.069956970E0,6.484665070E0
1.769329088E2,2.263293457E-1,-6.138584747E0,6.021228790E0
1.769429348E2,-2.694396973E-2,-7.429949341E0,5.191055145E0
1.769529608E2,1.360670471E-1,-8.615933075E0,4.434378662E0
1.769629868E2,-2.733316040E-1,-9.192983093E0,4.539759521E0
1.769730128E2,-5.870791626E-1,-7.424410858E0,5.761219482E0
1.769830388E2,-6.589297485E-1,-6.101611633E0,7.039710846E0
1.769930648E2,-6.352789307E-1,-6.195765839E0,7.972720642E0
1.770030908E2,-4.064048767E-1,-6.642137604E0,8.376431122E0
1.770131168E2,-2.314187622E-1,-6.998546448E0,8.123906250E0
1.770231428E2,-1.402583313E-1,-7.103328552E0,7.691455536E0
1.770331688E2,-5.508544922E-2,-7.138954468E0,7.470514984E0
1.770431948E2,1.583706665E-1,-7.226372681E0,7.193590851E0
1.770532208E2,4.936734009E-1,-7.416028290E0,6.872059479E0
1.770632468E2,5.858816528E-1,-7.839347992E0,6.663692780E0
1.770732728E2,6.815327454E-1,-8.207731934E0,6.137087860E0
1.770832988E2,1.859133911E-1,-8.445886688E0,6.179000702E0
1.770933238E2,-3.728746033E-1,-8.795559540E0,6.256240082E0
1.771033498E2,-5.553451538E-1,-9.166488190E0,6.175108795E0
1.771133758E2,-9.249266052E-1,-9.346563721E0,6.278394012E0
1.771234018E2,-8.906478882E-1,-9.275311890E0,6.278992767E0
1.771334278E2,-3.719764709E-1,-9.309889984E0,6.238277435E0
1.771434538E2,-3.260220337E-1,-9.077423401E0,5.569318542E0
1.771534798E2,-2.716850281E-1,-9.175619202E0,5.045707397E0
1.771635058E2,-3.354524231E-1,-1.004336472E1,5.777236176E0
1.771735318E2,-3.363505554E-1,-1.117067047E1,6.827152863E0
1.771835578E2,-1.035845947E-1,-1.115794693E1,8.305927734E0
1.771935838E2,1.059047699E0,-9.143885193E0,9.182804260E0
1.772036098E2,2.963387604E0,-6.226901093E0,8.934620361E0
1.772136358E2,4.300706635E0,-4.274960175E0,8.032596130E0
1.772236618E2,4.847968597E0,-3.570824432E0,7.318730621E0
1.772336878E2,5.314997406E0,-3.635040894E0,6.703210602E0
1.772437138E2,5.173092499E0,-4.573439484E0,6.792125702E0
1.772537398E2,4.341721344E0,-6.156996460E0,6.987918549E0
1.772637658E2,2.982547760E0,-7.164251862E0,6.688541107E0
1.772737918E2,1.951192474E0,-7.033274231E0,6.040838013E0
1.772838178E2,1.922601929E0,-6.154152374E0,5.081782379E0
1.772938438E2,2.178419952E0,-5.386398926E0,4.103267212E0
1.773038698E2,1.786534882E0,-5.005441132E0,3.428021393E0
1.773138958E2,1.448388062E0,-4.699627075E0,2.978356476E0
1.773239208E2,1.575623474E0,-3.970343628E0,2.640059967E0
1.773339468E2,1.957778778E0,-3.773053894E0,2.321672058E0
1.773439728E2,2.017055511E0,-4.005370789E0,2.511477356E0
1.773539988E2,1.778002625E0,-4.810097351E0,3.046913910E0
1.773640248E2,1.509011993E0,-6.036197662E0,3.870201874E0
1.773740508E2,1.949695587E0,-6.969806213E0,4.538112946E0
1.773840768E2,2.152823181E0,-7.557633820E0,5.583838348E0
1.773941028E2,2.257305908E0,-7.881560211E0,6.932833099E0
1.774041288E2,2.095043335E0,-8.142617340E0,8.119565277E0
1.774141548E2,1.716630249E0,-8.457712097E0,8.547974396E0
1.774241808E2,8.687933350E-1,-8.884025574E0,8.472830658E0
1.774342068E2,1.357676697E-1,-9.336384888E0,7.835007019E0
1.774442328E2,-2.243833923E-1,-9.618398438E0,7.302713928E0
1.774542588E2,-5.155279541E-1,-9.851763153E0,6.904841309E0
1.774642848E2,-1.350192261E-1,-9.995015259E0,6.603966980E0
1.774743108E2,-2.716850281E-1,-1.009231293E1,7.206314392E0
1.774843368E2,-9.151968384E-1,-1.041623932E1,6.835535431E0
1.774943628E2,-5.427713013E-1,-1.069436096E1,6.114484863E0
1.775043888E2,-6.149212646E-1,-1.032268387E1,6.115532684E0
1.775144148E2,-7.794291687E-1,-9.110803986E0,6.366710358E0
1.775244408E2,-8.056246948E-1,-7.800578613E0,6.400689697E0
1.775344658E2,-8.313711548E-1,-6.876999207E0,6.546785889E0
1.775444918E2,-7.101232910E-1,-6.181994476E0,7.040608978E0
1.775545178E2,-2.866539001E-1,-5.772446136E0,7.689509583E0
1.775645438E2,2.439926147E-2,-5.558840332E0,8.339607697E0
1.775745698E2,3.817062378E-2,-5.366640015E0,8.833730164E0
1.775845958E2,-8.457412720E-2,-5.277275848E0,9.045839081E0
1.775946218E2,1.264869690E-1,-5.434598694E0,8.519084473E0
1.776046478E2,4.424798584E-1,-6.178401947E0,8.152945862E0
1.776146738E2,6.969506836E-1,-7.253166962E0,8.237669678E0
1.776246998E2,7.991880798E-1,-7.929909668E0,7.432793427E0
1.776347258E2,9.199868774E-1,-8.045020294E0,6.559659119E0
1.776447518E2,9.083111572E-1,-7.573051758E0,5.756728821E0
1.776547778E2,2.201921082E-1,-6.320306854E0,5.395080872E0
1.776648038E2,-6.753955078E-1,-4.950056305E0,5.444927216E0
1.776748298E2,-1.142873383E0,-4.485272827E0,5.399571533E0
1.776848558E2,-9.370513916E-1,-4.783752136E0,5.231471100E0
1.776948818E2,-5.637277222E-1,-5.567522278E0,5.154082031E0
1.777049078E2,-3.861968994E-1,-6.556515656E0,5.330115967E0
1.777149338E2,-2.386038208E-1,-7.204368439E0,5.737718353E0
1.777249598E2,-4.105961609E-1,-7.417225800E0,6.189478912E0
1.777349858E2,-3.490740967E-1,-7.452851715E0,6.597829742E0
1.777450118E2,-2.200424194E-2,-7.763006744E0,7.075935516E0
1.777550368E2,2.728825378E-1,-8.309220886E0,7.378905487E0
1.777650628E2,1.040336609E-1,-8.765621796E0,7.793692932E0
1.777750888E2,-2.923420715E-1,-9.452393646E0,8.143066406E0
1.777851148E2,-6.744973755E-1,-1.019125717E1,7.899373169E0
1.777951408E2,-1.221459961E0,-1.047970734E1,7.533683624E0
1.778051668E2,-9.810598755E-1,-1.050395691E1,7.294630737E0
1.778151928E2,-4.796026611E-1,-1.038705002E1,6.915169830E0
1.778252188E2,-1.663041687E-1,-9.981543274E0,6.726262665E0
1.778352448E2,2.203417969E-1,-9.263785858E0,6.161636810E0
1.778452708E2,1.808239746E-1,-8.883875885E0,6.106401672E0
1.778552968E2,3.264710999E-1,-8.675658875E0,6.452032928E0
1.778653228E2,4.508624268E-1,-8.491392059E0,7.319179688E0
1.778753488E2,8.530760193E-1,-8.256680145E0,7.979756012E0
1.778853744E2,1.716779938E0,-7.602989502E0,8.344996490E0
1.778954004E2,2.869083710E0,-6.292165375E0,8.099506989E0
1.779054264E2,4.118236084E0,-4.788392487E0,7.402406616E0
1.779154524E2,5.182073822E0,-4.046535187E0,6.694678345E0
1.779254784E2,5.851930847E0,-4.054169312E0,6.152954865E0
1.779355044E2,5.280269623E0,-4.809947662E0,5.868097229E0
1.779455304E2,4.083657990E0,-5.913003845E0,5.837111664E0
1.779555564E2,2.832859039E0,-6.487359467E0,6.138135681E0
1.779655824E2,2.090402985E0,-5.882916412E0,5.885461121E0
1.779756074E2,1.988315277E0,-5.077740784E0,4.439767456E0
1.779856334E2,1.988464966E0,-4.654870148E0,2.754721527E0
