"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.217587792E0,-2.682934515E-3,1.544893861E0,-1.256431341E0
1.227613792E0,9.380232543E-2,1.636137962E0,-1.152164936E0
1.237639792E0,1.135761589E-1,1.626221061E0,-1.004479766E0
1.247666792E0,5.376263335E-2,1.487502337E0,-8.475062251E-1
1.257692792E0,-8.432049304E-2,1.257552147E0,-7.466660738E-1
1.267718792E0,-2.796063423E-1,1.016341090E0,-7.097805142E-1
1.277745792E0,-4.641197324E-1,8.036915660E-1,-7.166072130E-1
1.287771792E0,-5.950817466E-1,6.570531726E-1,-7.590449452E-1
1.297797792E0,-6.311539412E-1,5.869691372E-1,-7.437992096E-1
1.307823792E0,-5.673075914E-1,6.572478414E-1,-7.841677070E-1
1.317851000E0,-5.423563719E-1,8.288165927E-1,-7.793918848E-1
1.327877000E0,-5.225397348E-1,7.579871416E-1,-6.742407084E-1
1.337903000E0,-4.560886025E-1,4.853894413E-1,-5.354096293E-1
1.347930000E0,-3.173655868E-1,2.709551752E-1,-4.229365885E-1
1.357956000E0,-2.193898559E-1,1.939006150E-1,-2.994853556E-1
1.367982000E0,-2.123295367E-1,1.684285402E-1,-1.860522628E-1
1.378008000E0,-2.942371666E-1,1.578520983E-1,-1.068550050E-1
1.388035000E0,-4.033428729E-1,1.846176684E-1,-3.440290689E-2
1.398061000E0,-4.215752780E-1,1.106763333E-1,-3.655431047E-2
1.408087000E0,-3.437451720E-1,1.000615060E-1,-1.473039836E-1
1.418114000E0,-2.248952538E-1,2.146893889E-1,-2.197516412E-1
1.428140000E0,-9.291645885E-2,4.241384864E-1,-2.221468985E-1
1.438166000E0,5.483724549E-2,7.149064541E-1,-1.795090139E-1
1.448192000E0,1.457826048E-1,9.693014622E-1,-3.815241903E-2
1.458219000E0,1.421794891E-1,9.980847836E-1,1.614359170E-1
1.468245000E0,1.049974859E-1,8.490588069E-1,4.487012625E-1
1.478271000E0,7.089778781E-2,6.477580070E-1,7.166414857E-1
1.488298000E0,1.259160321E-2,4.112136960E-1,8.119685054E-1
1.498324000E0,-1.215208620E-1,2.425747961E-1,7.823626399E-1
1.508350000E0,-2.968194187E-1,1.702412218E-1,6.427371502E-1
1.518377000E0,-4.893558621E-1,3.632407635E-2,5.037212372E-1
1.528403000E0,-6.897752285E-1,-1.284587383E-1,3.568833172E-1
1.538429000E0,-8.887680173E-1,-3.216500580E-1,2.721928358E-1
1.548455000E0,-1.046035528E0,-5.139550567E-1,2.945998609E-1
1.558482000E0,-1.112920165E0,-7.583200932E-1,3.837487102E-1
1.568508000E0,-1.087983608E0,-1.017524242E0,4.951303601E-1
1.578534000E0,-9.424527884E-1,-1.170825839E0,5.489087105E-1
1.588561000E0,-6.892913580E-1,-1.279929161E0,5.728601217E-1
1.598587000E0,-4.329145849E-1,-1.468704343E0,6.257072091E-1
1.608613000E0,-2.467468381E-1,-1.728676319E0,7.054776549E-1
1.618639000E0,-1.152809560E-1,-2.052700043E0,7.688969374E-1
1.628666000E0,7.071901113E-2,-2.330020189E0,7.883545160E-1
1.638692000E0,4.310283661E-1,-2.701948643E0,7.625633478E-1
1.648718000E0,9.100588560E-1,-3.012741566E0,7.059951425E-1
1.658745000E0,1.309545994E0,-2.964534521E0,6.497204304E-1
1.668771000E0,1.423699975E0,-2.471812010E0,7.183178663E-1
1.678797000E0,9.854336381E-1,-1.302775621E0,8.643341064E-1
1.688823000E0,6.354848295E-2,-4.270969927E-1,8.752442598E-1
1.698850000E0,-1.028807044E0,-2.175371945E-1,6.328010559E-1
1.708876000E0,-1.891234517E0,-9.059976041E-2,1.907754838E-1
1.718902000E0,-2.250212908E0,2.139557749E-1,-2.924874723E-1
