"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.590095011E0,6.508477330E-1,3.172882795E0,9.207581520E0
1.600095011E0,7.513462901E-1,3.081955671E0,9.317651749E0
1.610095011E0,6.269195080E-1,3.014956474E0,9.279366493E0
1.620095011E0,5.503492355E-1,3.043670416E0,9.207581520E0
1.630095011E0,6.077769399E-1,3.148954630E0,9.111868858E0
1.640095011E0,7.561319470E-1,3.239881754E0,9.006584167E0
1.650095011E0,7.848458290E-1,3.244667530E0,8.872586250E0
1.660095011E0,7.896314859E-1,3.263810158E0,9.006584167E0
1.670095011E0,6.604190469E-1,3.268595695E0,9.025727272E0
1.680095011E0,6.747759581E-1,3.292523861E0,9.016156197E0
1.690095011E0,6.843472719E-1,3.306880951E0,9.011369705E0
1.700095011E0,7.178468108E-1,3.349951744E0,9.049654961E0
1.710095011E0,6.699903607E-1,3.488735437E0,9.044869423E0
1.720095011E0,5.790630579E-1,3.330809116E0,9.054440498E0
1.730095011E0,7.657032609E-1,3.249453068E0,9.025727272E0
1.740095011E0,9.092726111E-1,3.239881754E0,8.829515457E0
1.750095011E0,9.044869542E-1,3.263810158E0,8.752944946E0
1.760095011E0,7.561319470E-1,3.321237803E0,8.714659691E0
1.770095011E0,6.652047038E-1,3.416950703E0,8.709874153E0
1.780095011E0,6.412764788E-1,3.464807272E0,8.681160927E0
1.790095011E0,6.891329288E-1,3.479164124E0,8.599804878E0
1.800095011E0,7.226324677E-1,3.412165165E0,8.523234367E0
1.810095011E0,6.939185858E-1,3.326023579E0,8.618947029E0
1.820095011E0,6.221339107E-1,3.335594654E0,8.781659126E0
1.830095011E0,6.077769399E-1,3.407379389E0,9.078369141E0
1.840095011E0,6.077769399E-1,3.474378586E0,9.389435768E0
1.850095011E0,6.221339107E-1,3.550948858E0,9.623932838E0
1.860095011E0,8.949156404E-1,3.369094372E0,9.695717812E0
1.870095011E0,8.805587292E-1,3.354737282E0,9.743574142E0
1.880095011E0,7.322037220E-1,3.349951744E0,9.604789734E0
1.890095011E0,7.130611539E-1,3.416950703E0,9.475577354E0
1.900095011E0,6.221339107E-1,3.440878868E0,9.250652313E0
1.910095011E0,6.364908218E-1,3.426522017E0,9.250652313E0
1.920095011E0,5.216353536E-1,3.388236761E0,9.288937569E0
1.930095011E0,3.972085714E-1,3.340380430E0,9.121439934E0
1.940095011E0,4.019941986E-1,3.311666489E0,9.006584167E0
1.950095011E0,5.551348329E-1,3.302095175E0,8.863015175E0
1.960095011E0,6.221339107E-1,3.287738323E0,8.796015739E0
1.970095011E0,6.317051649E-1,3.273381472E0,8.738588333E0
1.980095011E0,5.599204898E-1,3.249453068E0,8.690732002E0
1.990095011E0,4.785645306E-1,3.206382275E0,8.729017258E0
2.000095011E0,5.647061467E-1,3.201596737E0,8.944371223E0
2.010095011E0,5.647061467E-1,3.153740168E0,9.131011009E0
2.020095011E0,4.354937077E-1,3.125026464E0,9.308079720E0
2.030095011E0,4.450650215E-1,3.129812002E0,9.360722542E0
2.040095011E0,5.934200287E-1,3.158525944E0,9.336793900E0
2.050095011E0,7.848458290E-1,3.254238844E0,9.308079720E0
2.060095011E0,7.896314859E-1,3.292523861E0,9.236295700E0
2.070095011E0,7.704889178E-1,3.321237803E0,9.116654396E0
2.080095011E0,7.657032609E-1,3.306880951E0,8.973084450E0
2.090095011E0,8.470591903E-1,3.263810158E0,8.834300995E0
2.100095011E0,8.805587292E-1,3.244667530E0,8.805587769E0
2.110095011E0,8.135597110E-1,3.192025423E0,8.858229637E0
2.120095011E0,6.412764788E-1,3.144168854E0,8.997013092E0
2.130095011E0,5.982056856E-1,3.110669374E0,9.126225471E0
2.140095011E0,4.977070987E-1,3.038884640E0,9.293723106E0
2.150095011E0,4.881358147E-1,2.986242771E0,9.442078590E0
2.160095011E0,6.029912829E-1,3.024527788E0,9.580862045E0
2.170095011E0,7.034898400E-1,3.043670416E0,9.652647018E0
2.180095011E0,7.704889178E-1,2.991028309E0,9.657432556E0
2.190095011E0,7.896314859E-1,2.957528830E0,9.643074989E0
