"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.682366522E0,4.621505737E-3,3.398418427E-2,-1.351499557E-1
1.693301886E0,6.142258644E-4,3.730964661E-2,-1.240625381E-1
1.704237251E0,7.921159267E-3,7.332062721E-2,-9.505558014E-2
1.715172667E0,-1.009600759E-1,1.336464882E-1,-8.335208893E-2
1.726108032E0,-4.328691959E-2,-5.775976181E-2,-6.623172760E-2
1.737043397E0,1.329854131E-1,-1.168348789E-1,-2.007646561E-1
1.747978761E0,1.626659632E-1,-9.833478928E-2,-3.419799805E-1
1.758914178E0,3.518050909E-2,-6.230163574E-2,-3.940944672E-1
1.769849542E0,-8.383828402E-2,1.095318794E-2,-3.696365356E-1
1.780784907E0,-1.084709167E-1,6.765198708E-2,-4.088783264E-1
1.791720272E0,-6.331974268E-2,7.160377502E-2,-5.031499863E-1
1.802655688E0,-8.789956570E-3,1.142168045E-2,-5.526227951E-1
1.813591053E0,-4.670608044E-2,-2.423644066E-2,-4.193925858E-1
1.824526417E0,-8.263778687E-2,1.254224777E-2,-1.830739975E-1
1.835461782E0,-7.800453901E-2,9.395027161E-2,8.029651642E-2
1.846397199E0,-4.998528957E-2,2.452499866E-1,3.961772919E-1
1.857332563E0,1.318237782E-1,1.100933552E-1,5.536394119E-1
1.868267928E0,2.466167212E-1,4.634904861E-2,5.728683472E-1
1.879203345E0,1.395358443E-1,5.311870575E-2,4.819526672E-1
1.890138709E0,9.017324448E-2,1.055269241E-1,2.961282730E-1
1.901074074E0,2.161282301E-2,1.342043877E-1,1.104354858E-1
1.912009438E0,2.052891254E-2,1.167485714E-1,8.732795715E-2
1.922944855E0,-9.535968304E-2,6.467676163E-2,8.311557770E-2
1.933880220E0,-1.916148067E-1,5.717277527E-3,-6.186199188E-2
1.944815584E0,-1.209538579E-1,-1.517200470E-2,-2.122869492E-1
1.955750949E0,1.127535105E-2,-2.863574028E-2,-3.289833069E-1
1.966686365E0,5.442780256E-2,-4.221820831E-2,-3.947963715E-1
1.977621730E0,1.449656487E-2,-5.411338806E-2,-4.401063919E-1
1.988557095E0,-7.536208630E-2,-8.464717865E-2,-4.215469360E-1
1.999492459E0,-3.203761578E-2,-7.730960846E-2,-2.472076416E-1
2.010427824E0,-4.925191402E-3,-9.883236885E-2,-1.376247406E-2
2.021363240E0,-1.165782511E-1,-1.153798103E-1,1.513357162E-1
2.032298605E0,-9.837278724E-2,-7.730555534E-2,1.871042252E-1
2.043233970E0,4.084748030E-2,-2.795743942E-2,1.664609909E-1
2.054169334E0,1.840854287E-1,5.315113068E-2,1.144962311E-1
2.065104751E0,1.661031842E-1,1.069784164E-1,1.980876923E-2
2.076040115E0,1.418224573E-1,1.227865219E-1,-1.299934387E-1
2.086975480E0,1.768289804E-1,9.365081787E-2,-2.999811172E-1
2.097910845E0,2.223409414E-1,7.152295113E-2,-3.614177704E-1
2.108846261E0,1.804999709E-1,5.402278900E-2,-3.330583572E-1
2.119781626E0,1.562386751E-2,2.534317970E-2,-2.093915939E-1
2.130716990E0,-6.501352787E-2,-1.452255249E-2,-5.821418762E-2
2.141652355E0,-1.607735753E-1,-4.850959778E-2,1.009330750E-1
2.152587772E0,-1.717446446E-1,-6.451964378E-2,2.632884979E-1
2.163523136E0,-5.097168684E-2,-1.049518585E-2,3.838062286E-1
2.174458501E0,4.754269123E-2,-6.792545319E-3,4.334335327E-1
2.185393865E0,1.136243939E-1,-2.224946022E-2,4.127788544E-1
2.196329282E0,5.861568451E-2,-3.252816200E-2,3.789958954E-1
