"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.199067675E0,-2.124673367E0,9.944775105E-1,3.704274178E0
3.209067675E0,3.539093018E0,-5.204200745E-3,2.862056732E0
3.219067675E0,7.114504337E0,-1.287563324E0,3.341853142E0
3.229067675E0,8.828689575E0,-2.178930521E0,2.847866058E0
3.239067675E0,8.321843147E0,-2.161397696E0,1.973038673E0
3.249067675E0,4.193254471E0,-2.469165325E0,1.971798897E0
3.259067675E0,8.067221642E-1,-1.709277868E0,2.737140656E0
3.269067675E0,-6.379158497E-1,3.104164600E-1,3.249114990E0
3.279067675E0,-1.427304506E0,2.222732782E0,2.480164528E0
3.289067675E0,-1.918424368E0,2.944264174E0,6.769561768E-1
3.299067675E0,-1.439460754E0,1.997203827E0,-7.404384613E-1
3.309067675E0,-5.924463272E-2,5.444085598E-1,-1.839723110E0
3.319067675E0,1.253547192E0,-7.654144764E-1,-2.121620655E0
3.329067675E0,2.032200336E0,-1.889833212E0,-1.304228783E0
3.339067675E0,1.933680773E0,-2.783739090E0,-6.140556335E-1
3.349067675E0,1.459999323E0,-3.225480556E0,2.336502075E-3
3.359067675E0,1.068479061E0,-3.438113689E0,3.582792282E-1
3.369067675E0,1.484172344E-1,-2.256308079E0,7.275581360E-2
3.379067675E0,-5.952539444E-1,-1.571058750E0,-1.699649811E0
3.389067675E0,-2.319014549E0,-1.266032934E0,-2.434773445E0
3.399067675E0,-4.518824577E0,2.516865730E-1,-2.486091137E0
3.409067675E0,-4.578217030E0,1.102269650E0,-2.162920952E0
3.419067675E0,-4.241115093E0,1.738917112E0,-1.893111706E0
3.429067675E0,-2.789234877E0,1.569795847E0,-2.396633148E0
3.439067675E0,-2.085979939E0,1.021147013E0,-3.116159439E0
3.449067675E0,-1.532642126E0,1.244538069E0,-3.539857388E0
3.459067675E0,-4.014396667E-1,9.354786873E-1,-4.111554146E0
3.469067675E0,1.422529221E-1,5.006527901E-2,-4.718386173E0
3.479067675E0,5.742177963E-1,-4.988718033E-2,-2.565106392E0
3.489067675E0,-2.360243797E-1,1.463346481E-1,-1.088164806E0
3.499067675E0,-1.057688236E0,4.012713432E-1,-1.559373856E0
3.509067675E0,-1.995728493E0,9.997563362E-1,-2.214384556E0
3.519067675E0,-2.259867668E0,9.454991817E-1,-2.635190964E0
3.529067675E0,-1.434385300E0,5.318014622E-1,-3.275065422E0
3.539067675E0,-9.257109165E-1,8.009815216E-1,-3.847899437E0
3.549067675E0,-1.559962392E0,1.387858152E0,-3.950988770E0
3.559067675E0,-2.523429155E0,1.379893780E0,-3.168101311E0
3.569067675E0,-1.972575188E0,1.269337654E0,-7.246656418E-1
3.579067675E0,-1.676737785E0,1.192016840E0,2.164690018E0
3.589067675E0,-1.260670900E0,4.085330963E-1,3.449961662E0
3.599067675E0,-1.571767807E0,-5.314954519E-1,2.725740433E0
3.609067675E0,-8.066852093E-1,-4.235477448E-1,2.009420395E0
3.619067675E0,4.088413715E-1,2.950321436E-1,1.227709770E0
3.629067675E0,2.318091393E-1,6.168009043E-1,1.087088585E0
3.639067675E0,-7.449401617E-1,6.601251364E-1,1.144485474E0
3.649067675E0,-1.067471385E0,8.296985626E-1,2.049231529E0
3.659067675E0,-1.142502785E0,9.928503036E-1,3.348520279E0
3.669067675E0,-1.233669758E0,7.470299006E-1,4.007342339E0
3.679067675E0,-1.106716871E0,6.700819731E-1,3.678196907E0
3.689067675E0,-8.393012285E-1,1.167600393E0,2.973059654E0
3.699067675E0,-9.517800808E-1,1.681925297E0,2.386415482E0
3.709067675E0,-1.364894748E0,1.873031378E0,2.002191544E0
3.719067675E0,-1.582643986E0,1.919850469E0,1.205159187E0
3.729067675E0,-7.386190891E-1,1.433633685E0,3.002519608E0
3.739067675E0,4.760398865E-1,5.751475096E-1,2.462888718E0
3.749067675E0,1.500282764E0,-3.128080368E-1,3.537314415E0
3.759067675E0,2.012786627E0,-1.226674795E0,4.874944687E0
3.769067675E0,2.604493618E0,-2.167545319E0,5.015727043E0
3.779067675E0,3.109380960E0,-2.755608082E0,4.548621178E0
3.789067675E0,3.551497459E0,-2.929480076E0,3.800274849E0
3.799067675E0,3.770675898E0,-2.603332281E0,3.239768982E0
3.809067675E0,3.294090033E0,-2.121758699E0,2.675128937E0
3.819067675E0,3.222689927E-1,-1.319576025E0,4.643287659E-1
3.829067675E0,-1.902979612E-2,6.847786903E-2,-6.934871674E-1
3.839067675E0,2.424787283E-1,2.681901455E-1,-9.097623825E-1
3.849067675E0,5.770979524E-1,-7.725627422E-1,-1.280060768E0
3.859067675E0,1.367504597E0,-1.407074451E0,-8.726787567E-1
3.869067675E0,2.422757149E0,-1.157182932E0,-7.378721237E-1
3.879067675E0,2.805009365E0,-8.611365557E-1,-5.233154297E-1
3.889067675E0,2.860502720E0,-1.374601245E0,-1.125688553E-1
3.899067675E0,2.401186705E0,-1.142053127E0,6.553001404E-1
3.909067675E0,1.759515047E0,-3.516490459E-1,1.195604324E0
3.919067675E0,1.080423832E0,2.184168100E-1,1.245041847E0
3.929067675E0,5.253424644E-1,4.624233246E-1,1.356904030E0
3.939067675E0,3.868975639E-1,3.881477118E-1,1.256632805E0
